#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEO01036757.1_4     -          oskar_filtered.aligned.OSK_domain -            3.3e-26   96.0   1.7   7.4e-26   94.9   1.7   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C204079_a_61_0_l_4993, transcribed RNA sequence
GDEO01040932.1_2     -          oskar_filtered.aligned.OSK_domain -              3e-06   30.9   0.1   5.6e-06   30.1   0.1   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4249_L_7393_2_a_17_5_l_1056, transcribed RNA sequence
GDEO01040930.1_1     -          oskar_filtered.aligned.OSK_domain -            3.3e-06   30.8   0.1     6e-06   30.0   0.1   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4247_L_7393_0_a_18_4_l_1088, transcribed RNA sequence
GDEO01039823.1_5     -          oskar_filtered.aligned.OSK_domain -            4.1e-06   30.5   0.0   7.7e-06   29.6   0.0   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s3244_L_5002_3_a_9_0_l_1136, transcribed RNA sequence
GDEO01037087.1_2     -          oskar_filtered.aligned.OSK_domain -            4.4e-06   30.4   0.0   7.3e-06   29.7   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s10292_L_44654_0_a_24_4_l_1104, transcribed RNA sequence
GDEO01039820.1_5     -          oskar_filtered.aligned.OSK_domain -            4.7e-06   30.3   1.1   9.4e-06   29.3   0.0   1.9   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s3241_L_5002_0_a_15_9_l_1257, transcribed RNA sequence
GDEO01039822.1_5     -          oskar_filtered.aligned.OSK_domain -            5.1e-06   30.2   1.3   9.3e-06   29.3   0.0   1.9   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s3243_L_5002_2_a_15_5_l_1248, transcribed RNA sequence
GDEO01003173.1_4     -          oskar_filtered.aligned.OSK_domain -            7.3e-06   29.7   0.0   7.6e-06   29.6   0.0   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C111158_a_3_0_l_223, transcribed RNA sequence
GDEO01037921.1_5     -          oskar_filtered.aligned.OSK_domain -            7.9e-06   29.6   0.2     2e-05   28.2   0.0   1.7   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s1528_L_1988_1_a_9_7_l_935, transcribed RNA sequence
GDEO01023172.1_3     -          oskar_filtered.aligned.OSK_domain -            1.1e-05   29.1   0.9   1.4e-05   28.7   0.9   1.1   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C165417_a_4_0_l_428, transcribed RNA sequence
GDEO01040931.1_1     -          oskar_filtered.aligned.OSK_domain -            1.4e-05   28.8   0.1   2.9e-05   27.7   0.1   1.5   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4248_L_7393_1_a_18_6_l_2519, transcribed RNA sequence
GDEO01039113.1_4     -          oskar_filtered.aligned.OSK_domain -            1.5e-05   28.7   2.1   0.00012   25.8   2.1   2.0   1   1   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2602_L_3737_0_a_13_2_l_925, transcribed RNA sequence
GDEO01037920.1_5     -          oskar_filtered.aligned.OSK_domain -            1.5e-05   28.7   0.2   3.5e-05   27.4   0.0   1.6   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s1527_L_1988_0_a_10_2_l_1208, transcribed RNA sequence
GDEO01046207.1_1     -          oskar_filtered.aligned.OSK_domain -            1.8e-05   28.4   0.1   2.4e-05   28.0   0.1   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s900_L_1148_1_a_19_8_l_855, transcribed RNA sequence
GDEO01039821.1_5     -          oskar_filtered.aligned.OSK_domain -            1.9e-05   28.3   0.0   1.9e-05   28.3   0.0   2.0   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s3242_L_5002_1_a_19_1_l_1890, transcribed RNA sequence
GDEO01026107.1_6     -          oskar_filtered.aligned.OSK_domain -            2.1e-05   28.2   0.0   2.5e-05   27.9   0.0   1.1   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C173944_a_11_0_l_505, transcribed RNA sequence
GDEO01040103.1_4     -          oskar_filtered.aligned.OSK_domain -            2.9e-05   27.7   0.2   0.00018   25.1   0.0   1.9   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s3500_L_5559_0_a_5_6_l_616, transcribed RNA sequence
GDEO01041871.1_1     -          oskar_filtered.aligned.OSK_domain -              8e-05   26.3   0.0   0.00013   25.6   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s5096_L_9443_0_a_25_6_l_1058, transcribed RNA sequence
GDEO01033949.1_5     -          oskar_filtered.aligned.OSK_domain -            9.6e-05   26.0   0.2   0.00015   25.4   0.2   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C196490_a_28_0_l_1006, transcribed RNA sequence
GDEO01012670.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0001   25.9   0.0   0.00011   25.8   0.0   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C135505_a_6_0_l_277, transcribed RNA sequence
GDEO01037292.1_2     -          oskar_filtered.aligned.OSK_domain -            0.00016   25.3   0.2   0.00039   24.1   0.2   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s10476_L_48580_0_a_16_6_l_1725, transcribed RNA sequence
GDEO01004830.1_3     -          oskar_filtered.aligned.OSK_domain -            0.00017   25.3   0.1   0.00017   25.3   0.1   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C115595_a_3_0_l_233, transcribed RNA sequence
GDEO01025766.1_3     -          oskar_filtered.aligned.OSK_domain -            0.00021   24.9   0.0   0.00022   24.9   0.0   1.1   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C172950_a_45_0_l_494, transcribed RNA sequence
GDEO01041898.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0024   21.4   0.0    0.0044   20.6   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s511_L_644_1_a_84_4_l_1444, transcribed RNA sequence
GDEO01045082.1_3     -          oskar_filtered.aligned.OSK_domain -             0.0078   19.8   0.2      0.02   18.5   0.2   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s7993_L_19698_0_a_12_3_l_1896, transcribed RNA sequence
GDEO01040130.1_2     -          oskar_filtered.aligned.OSK_domain -              0.046   17.3   0.4       0.1   16.2   0.2   1.6   1   1   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s3527_L_5619_0_a_6_6_l_1101, transcribed RNA sequence
GDEO01040131.1_2     -          oskar_filtered.aligned.OSK_domain -              0.047   17.3   0.3     0.069   16.7   0.3   1.3   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s3528_L_5619_1_a_5_4_l_1053, transcribed RNA sequence
GDEO01044480.1_5     -          oskar_filtered.aligned.OSK_domain -                0.1   16.2   0.0      0.19   15.3   0.0   1.4   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s7450_L_16741_0_a_21_0_l_1756, transcribed RNA sequence
GDEO01043108.1_3     -          oskar_filtered.aligned.OSK_domain -               0.11   16.1   0.0      0.19   15.3   0.0   1.4   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s6211_L_12480_0_a_32_7_l_2056, transcribed RNA sequence
GDEO01042287.1_4     -          oskar_filtered.aligned.OSK_domain -               0.11   16.1   0.0      0.15   15.6   0.0   1.3   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s5471_L_10306_0_a_5_6_l_439, transcribed RNA sequence
GDEO01037980.1_4     -          oskar_filtered.aligned.OSK_domain -               0.17   15.4   0.0      0.27   14.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s1581_L_2071_0_a_3_0_l_944, transcribed RNA sequence
GDEO01012782.1_3     -          oskar_filtered.aligned.OSK_domain -               0.29   14.7   0.1      0.29   14.7   0.1   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C135823_a_11_0_l_278, transcribed RNA sequence
GDEO01039294.1_2     -          oskar_filtered.aligned.OSK_domain -               0.39   14.3   0.0      0.65   13.5   0.0   1.4   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s2766_L_4072_2_a_34_4_l_560, transcribed RNA sequence
GDEO01046936.1_1     -          oskar_filtered.aligned.OSK_domain -               0.48   14.0   1.6      0.94   13.0   1.6   1.5   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s9667_L_36625_0_a_10_4_l_1056, transcribed RNA sequence
GDEO01015968.1_5     -          oskar_filtered.aligned.OSK_domain -               0.52   13.9   0.3      0.81   13.2   0.2   1.4   1   1   1   2   2   2   0 TSA: Ulopa reticulata breed wildtype C144662_a_5_0_l_311, transcribed RNA sequence
GDEO01037102.1_1     -          oskar_filtered.aligned.OSK_domain -               0.86   13.1   0.3       2.5   11.6   0.0   1.8   2   1   0   2   2   1   0 TSA: Ulopa reticulata breed wildtype s10305_L_44923_0_a_14_4_l_1617, transcribed RNA sequence
GDEO01036027.1_4     -          oskar_filtered.aligned.OSK_domain -               0.89   13.1   0.4       2.6   11.6   0.0   2.0   2   0   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype C202040_a_15_0_l_1504, transcribed RNA sequence
GDEO01036794.1_4     -          oskar_filtered.aligned.OSK_domain -                  1   12.9   0.4         1   12.9   0.4   1.7   2   0   0   2   2   1   0 TSA: Ulopa reticulata breed wildtype s10027_L_40713_0_a_15_0_l_1346, transcribed RNA sequence
GDEO01020971.1_2     -          oskar_filtered.aligned.OSK_domain -                1.1   12.9   0.0       1.1   12.8   0.0   1.2   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C158959_a_5_0_l_384, transcribed RNA sequence
GDEO01032518.1_3     -          oskar_filtered.aligned.OSK_domain -                1.3   12.5   1.6       2.4   11.7   0.3   1.9   2   0   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype C192464_a_9_0_l_840, transcribed RNA sequence
GDEO01039295.1_1     -          oskar_filtered.aligned.OSK_domain -                1.5   12.4   0.5       2.7   11.5   0.0   1.6   2   0   0   2   2   1   0 TSA: Ulopa reticulata breed wildtype s2767_L_4072_3_a_41_4_l_1198, transcribed RNA sequence
GDEO01037482.1_1     -          oskar_filtered.aligned.OSK_domain -                1.5   12.4   0.1       1.7   12.2   0.1   1.0   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s1127_L_1436_1_a_5_0_l_243, transcribed RNA sequence
GDEO01020855.1_6     -          oskar_filtered.aligned.OSK_domain -                2.4   11.7   0.0       2.8   11.5   0.0   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C158629_a_5_0_l_382, transcribed RNA sequence
GDEO01035527.1_3     -          oskar_filtered.aligned.OSK_domain -                7.2   10.1   5.3       2.1   11.9   0.3   2.4   2   1   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype C200772_a_13_0_l_1331, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEO01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEO01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEO01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:50:21 2019
# [ok]
