#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDFF01035911.1_3     -          oskar_filtered.aligned.OSK_domain -            2.9e-23   86.2   0.1   4.6e-23   85.6   0.1   1.3   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype s4511_L_7876_0_a_64_5_l_1365, transcribed RNA sequence
GDFF01035467.1_4     -          oskar_filtered.aligned.OSK_domain -              0.053   16.9   1.5      0.14   15.5   0.2   2.4   2   0   0   2   2   2   0 TSA: Centrotus cornutus breed wildtype s4109_L_6812_0_a_38_9_l_3670, transcribed RNA sequence
GDFF01035465.1_3     -          oskar_filtered.aligned.OSK_domain -              0.099   16.0   0.1      0.19   15.1   0.0   1.6   1   1   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype s4107_L_6809_1_a_23_3_l_1392, transcribed RNA sequence
GDFF01038966.1_3     -          oskar_filtered.aligned.OSK_domain -               0.11   15.9  10.2      0.18   15.1   0.1   2.6   2   1   0   2   2   2   0 TSA: Centrotus cornutus breed wildtype s7268_L_26071_0_a_17_1_l_1455, transcribed RNA sequence
GDFF01008261.1_6     -          oskar_filtered.aligned.OSK_domain -               0.11   15.8   0.4      0.14   15.5   0.4   1.2   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C123682_a_6_0_l_606, transcribed RNA sequence
GDFF01015192.1_6     -          oskar_filtered.aligned.OSK_domain -               0.12   15.7   0.1       0.2   15.0   0.1   1.3   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C143977_a_7_0_l_1414, transcribed RNA sequence
GDFF01007800.1_5     -          oskar_filtered.aligned.OSK_domain -               0.17   15.2   1.1      0.21   15.0   1.1   1.2   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C122342_a_7_0_l_581, transcribed RNA sequence
GDFF01035878.1_2     -          oskar_filtered.aligned.OSK_domain -               0.94   12.8   0.0       1.4   12.2   0.0   1.4   1   1   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype s4482_L_7797_0_a_4_0_l_549, transcribed RNA sequence
GDFF01039672.1_2     -          oskar_filtered.aligned.OSK_domain -                1.3   12.4   2.4         2   11.7   0.1   2.1   1   1   0   2   2   2   0 TSA: Centrotus cornutus breed wildtype s7905_L_32521_0_a_9_2_l_1211, transcribed RNA sequence
GDFF01001265.1_1     -          oskar_filtered.aligned.OSK_domain -                1.3   12.3   0.5       1.5   12.1   0.5   1.1   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C103680_a_5_0_l_368, transcribed RNA sequence
GDFF01030801.1_1     -          oskar_filtered.aligned.OSK_domain -                1.7   12.0   0.0       2.1   11.7   0.0   1.1   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C96333_a_3_0_l_316, transcribed RNA sequence
GDFF01005805.1_2     -          oskar_filtered.aligned.OSK_domain -                3.8   10.8   3.7       4.7   10.5   3.7   1.2   1   1   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C116562_a_4_0_l_496, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFF01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDFF01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDFF01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:02:29 2019
# [ok]
