#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IAAD01020537.1_6     -          oskar_filtered.aligned.LOTUS_domain -            3.5e-31  113.4   0.3   3.5e-31  113.4   0.3   2.0   2   0   0   2   2   1   1 TSA: Pogonomyrmex californicus RNA, : comp27888_c0_seq1, isolate: PCALIFOR, transcribed RNA sequence
IAAD01075055.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.1   14.6   0.5        16   11.8   0.5   2.0   1   1   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp52938_c0_seq4, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189239.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.2   14.5   0.1       6.1   13.2   0.1   1.7   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq40, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189216.1_6     -          oskar_filtered.aligned.LOTUS_domain -                4.1   13.7   0.1        14   12.0   0.1   1.9   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq17, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189236.1_6     -          oskar_filtered.aligned.LOTUS_domain -                4.2   13.7   0.1        13   12.1   0.1   1.8   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq37, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189242.1_6     -          oskar_filtered.aligned.LOTUS_domain -                4.4   13.6   0.1        13   12.1   0.1   1.8   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq43, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189244.1_6     -          oskar_filtered.aligned.LOTUS_domain -                4.8   13.5   0.1        16   11.8   0.1   1.9   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq45, isolate: PCALIFOR, transcribed RNA sequence
IAAD01164768.1_5     -          oskar_filtered.aligned.LOTUS_domain -                4.8   13.5   0.2       9.1   12.6   0.2   1.4   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp59480_c20_seq1, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189217.1_6     -          oskar_filtered.aligned.LOTUS_domain -                4.9   13.4   0.1        15   11.9   0.1   1.8   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq18, isolate: PCALIFOR, transcribed RNA sequence
IAAD01189214.1_6     -          oskar_filtered.aligned.LOTUS_domain -                5.1   13.4   0.1        15   11.9   0.1   1.8   1   0   0   1   1   1   0 TSA: Pogonomyrmex californicus RNA, : comp60222_c6_seq15, isolate: PCALIFOR, transcribed RNA sequence
IAAD01147892.1_2     -          oskar_filtered.aligned.LOTUS_domain -                6.9   13.0   0.1   1.7e+03    5.3   0.0   2.9   3   0   0   3   3   2   0 TSA: Pogonomyrmex californicus RNA, : comp58923_c3_seq3, isolate: PCALIFOR, transcribed RNA sequence
IAAD01168517.1_6     -          oskar_filtered.aligned.LOTUS_domain -                7.3   12.9   0.2   2.4e+02    8.1   0.0   3.0   3   0   0   3   3   3   0 TSA: Pogonomyrmex californicus RNA, : comp59613_c9_seq16, isolate: PCALIFOR, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_IAAD01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/IAAD01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_IAAD01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:47:27 2019
# [ok]
