index,id,species,family_name,order_name,hits,source,filtered_hits
133,GDBW00000000.1,Tropidacris collaris,Romaleidae,Orthoptera,0,TSA,0.0
134,GDBV00000000.1,Mantophasma sp. AD-2014,Mantophasmatidae,Mantophasmatodea,0,TSA,0.0
135,GDBU00000000.1,Trachyaretaon brueckneri,Heteropterygidae,Phasmatodea,0,TSA,0.0
136,GCPG00000000.1,Diestrammena asynamora,Rhaphidophoridae,Orthoptera,0,TSA,0.0
137,GDCC00000000.1,Sipyloidea biplagiata,Lonchodidae,Phasmatodea,0,TSA,0.0
138,GDCQ00000000.1,Nemoura sp. AD-2014,Nemouridae,Plecoptera,0,TSA,0.0
139,GGPJ00000000.1,Nezara viridula,Pentatomidae,Hemiptera,0,TSA,0.0
140,GFRL00000000.1,Phyllomimus sinicus,Tettigoniidae,Orthoptera,0,TSA,0.0
141,GGIT00000000.1,Phenacoccus solenopsis,Pseudococcidae,Hemiptera,0,TSA,0.0
142,GFUV00000000.1,Anticarsia gemmatalis,Noctuidae,Lepidoptera,0,TSA,0.0
143,GGBU00000000.1,Adelphocoris suturalis,Miridae,Hemiptera,0,TSA,0.0
144,GGBQ00000000.1,Adelphocoris lineolatus,Miridae,Hemiptera,0,TSA,0.0
145,GGBO00000000.1,Adelphocoris fasciaticollis,Miridae,Hemiptera,0,TSA,0.0
146,GCXO00000000.1,Ladella sp. AD-2014,Tropiduchidae,Hemiptera,0,TSA,0.0
147,GCYA00000000.1,Limnoporus canaliculatus,Gerridae,Hemiptera,0,TSA,0.0
148,GCZE00000000.1,Melanoliarus placitus,Cixiidae,Hemiptera,0,TSA,0.0
149,GCZJ00000000.1,Unaspis euonymi,Diaspididae,Hemiptera,0,TSA,0.0
150,GCWP00000000.1,Dalbulus maidis,Cicadellidae,Hemiptera,0,TSA,0.0
151,GCYZ00000000.1,Trichocorixa calva,Corixidae,Hemiptera,0,TSA,0.0
152,GCYF00000000.1,Nessorhinus gibberulus,Membracidae,Hemiptera,0,TSA,0.0
153,GCXV00000000.1,Megacopta cribraria,Plataspidae,Hemiptera,0,TSA,0.0
154,GCWX00000000.1,Llanquihuea pilosa,Melizoderidae,Hemiptera,0,TSA,0.0
155,GCWR00000000.1,Acrosternum hilare,Pentatomidae,Hemiptera,0,TSA,0.0
156,GCWG00000000.1,Anasa tristis,Coreidae,Hemiptera,0,TSA,0.0
157,GCWK00000000.1,Belostoma flumineum,Belostomatidae,Hemiptera,0,TSA,0.0
158,GCWT00000000.1,Agallia constricta,Cicadellidae,Hemiptera,0,TSA,0.0
159,GCZD00000000.1,Vidanoana flavomaculata,Cicadellidae,Hemiptera,0,TSA,0.0
160,GCWZ00000000.1,Ceroplastes cirripediformis,Coccidae,Hemiptera,0,TSA,0.0
161,GCYX00000000.1,Trioza urticae,Triozidae,Hemiptera,0,TSA,0.0
162,GCZC00000000.1,Uroleucon ambrosiae,Aphididae,Hemiptera,0,TSA,0.0
163,GCYY00000000.1,Tuberolachnus salignus,Lachnidae,Hemiptera,0,TSA,0.0
164,GCWY00000000.1,Echmepteryx hageni,Lepidopsocidae,Psocoptera,1,TSA,1.0
165,GCZM00000000.1,Cycadothrips chadwicki,Aeolothripidae,Thysanoptera,1,TSA,1.0
166,GCZG00000000.1,Peloridium pomponorum,Peloridiidae,Hemiptera,0,TSA,0.0
167,GCZA00000000.1,Philaenus spumarius,Aphrophoridae,Hemiptera,0,TSA,0.0
168,GCZF00000000.1,Ponana quadralaba,Cicadellidae,Hemiptera,0,TSA,0.0
169,GCYC00000000.1,Pachypsylla celtidismamma,Aphalaridae,Hemiptera,0,TSA,0.0
170,GCXN00000000.1,Mapuchea sp. AD-2014,Myerslopiidae,Hemiptera,0,TSA,0.0
171,GCXR00000000.1,Largus californicus,Largidae,Hemiptera,0,TSA,0.0
172,GCXS00000000.1,Mesovelia mulsanti,Mesoveliidae,Hemiptera,0,TSA,0.0
173,GCXX00000000.1,Largus californicus,Largidae,Hemiptera,0,TSA,0.0
174,GCXL00000000.1,Jalysus sp. AD-2014,Berytidae,Hemiptera,0,TSA,0.0
175,GCWF00000000.1,Bruchomorpha oculata,None,Hemiptera,0,TSA,0.0
176,GCXC00000000.1,Acanalonia conica,Acanaloniidae,Hemiptera,0,TSA,0.0
177,GCWV00000000.1,Dactylopius confusus,Dactylopiidae,Hemiptera,0,TSA,0.0
178,GCYT00000000.1,Trionymus caricis,Pseudococcidae,Hemiptera,0,TSA,0.0
179,GCYS00000000.1,Chalcocoris rutilans,Pentatomidae,Hemiptera,0,TSA,0.0
180,GCYP00000000.1,Rhagovelia obesa,Veliidae,Hemiptera,0,TSA,0.0
181,GCZK00000000.1,Stictocephala bisonia,Membracidae,Hemiptera,0,TSA,0.0
182,GCYW00000000.1,Psyllopsis fraxinicola,Liviidae,Hemiptera,0,TSA,0.0
183,GCZB00000000.1,Sehirus cinctus,Cydnidae,Hemiptera,0,TSA,0.0
184,GCYR00000000.1,Frankliniella occidentalis,Thripidae,Thysanoptera,0,TSA,0.0
185,GCYN00000000.1,Anoplogonius nigricollis,Scutelleridae,Hemiptera,0,TSA,0.0
186,GCYK00000000.1,Reuteroscopus ornatus,Miridae,Hemiptera,0,TSA,0.0
187,GCYE00000000.1,Scutelleridae sp. AD-2014,Scutelleridae,Hemiptera,0,TSA,0.0
188,GCZI00000000.1,Schizaphis graminum,Aphididae,Hemiptera,0,TSA,0.0
189,GCZH00000000.1,Prociphilus tessellatus,Pemphigidae,Hemiptera,0,TSA,0.0
190,GCYJ00000000.1,Prosapia bicincta,Cercopidae,Hemiptera,0,TSA,0.0
191,GCYD00000000.1,Ptycta johnsoni,Psocidae,Psocoptera,0,TSA,0.0
192,GCYQ00000000.1,Phlaeothripidae sp. AD-2014,Phlaeothripidae,Thysanoptera,1,TSA,1.0
193,GCYI00000000.1,Phymata pennsylvanica,Phymatidae,Hemiptera,0,TSA,0.0
194,GCYH00000000.1,Phylloscelis atra,Dictyopharidae,Hemiptera,0,TSA,0.0
195,GCXZ00000000.1,Idiosystatus acutiusculus,Delphacidae,Hemiptera,0,TSA,0.0
196,GCYM00000000.1,Mezira granulata,Aradidae,Hemiptera,0,TSA,0.0
197,GCXU00000000.1,Pagasa sp. AD-2014,Nabidae,Hemiptera,0,TSA,0.0
198,GCXT00000000.1,Orothrips kelloggi,Aeolothripidae,Thysanoptera,1,TSA,1.0
199,GCYL00000000.1,Orius insidiosus,Anthocoridae,Hemiptera,0,TSA,0.0
200,GCVW00000000.1,Nabicula subcoleoptrata,Nabidae,Hemiptera,0,TSA,0.0
201,GCXY00000000.1,Oncopeltus fasciatus,Lygaeidae,Hemiptera,0,TSA,0.0
202,GCXQ00000000.1,Macrohomotoma gladiata,Homotomidae,Hemiptera,0,TSA,0.0
203,GCYB00000000.1,Lygaeus turcicus,Lygaeidae,Hemiptera,0,TSA,0.0
204,GCXM00000000.1,Lygus lineolaris,Miridae,Hemiptera,0,TSA,0.0
205,GCXK00000000.1,Chauliops fallax,Malcidae,Hemiptera,0,TSA,0.0
206,GCXH00000000.1,Ischnodemus falicus,Blissidae,Hemiptera,0,TSA,0.0
207,GCXF00000000.1,Lopidea amorphae,Miridae,Hemiptera,0,TSA,0.0
208,GCXW00000000.1,Holdgatiella chepuensis,Membracidae,Hemiptera,0,TSA,0.0
209,GCXB00000000.1,Heteropsylla cubana,Psyllidae,Hemiptera,0,TSA,0.0
210,GCYG00000000.1,Chondrodire chilensis,Dictyopharidae,Hemiptera,0,TSA,0.0
211,GCXI00000000.1,Gelastocoris oculatus,Gelastocoridae,Hemiptera,0,TSA,0.0
212,GCXG00000000.1,Hespenedra chilensis,Cicadellidae,Hemiptera,0,TSA,0.0
213,GCWJ00000000.1,Lachesilla contraforcepeta,Lachesillidae,Psocoptera,0,TSA,0.0
214,GCWM00000000.1,Geocoris sp. AD-2014,Lygaeidae,Hemiptera,0,TSA,0.0
215,GCXD00000000.1,Geomydoecus ewingi,Trichodectidae,Phthiraptera,0,TSA,0.0
216,GCWH00000000.1,Hoplitocoris sp. AD-2014,Enicocephalidae,Hemiptera,0,TSA,0.0
217,GCVV00000000.1,Empoasca fabae,Cicadellidae,Hemiptera,0,TSA,0.0
218,GCWL00000000.1,Piezosternum calidum,Tessaratomidae,Hemiptera,0,TSA,0.0
219,GCWN00000000.1,Craspedorrhynchus sp. AD-2014,Philopteridae,Phthiraptera,0,TSA,0.0
220,GCXA00000000.1,Corimelaena lateralis,Thyreocoridae,Hemiptera,0,TSA,0.0
221,GCWQ00000000.1,Cyrpoptus belfragei,Fulgoridae,Hemiptera,0,TSA,0.0
222,GCWW00000000.1,Coccus sp. AD-2014,Coccidae,Hemiptera,0,TSA,0.0
223,GCWD00000000.1,Campanulotes compar,Philopteridae,Phthiraptera,0,TSA,0.0
224,GCWC00000000.1,Boisea trivittata,Rhopalidae,Hemiptera,0,TSA,0.0
225,GCWB00000000.1,Columbicola columbae,Philopteridae,Phthiraptera,0,TSA,0.0
226,GCVU00000000.1,Chrysomphalus aonidum,Diaspididae,Hemiptera,0,TSA,0.0
227,GCWS00000000.1,Ceratocombus sp. AD-2014,Ceratocombidae,Hemiptera,0,TSA,0.0
228,GCXE00000000.1,Buenoa margaritacea,Notonectidae,Hemiptera,0,TSA,0.0
229,GCWE00000000.1,Arilus cristatus,Reduviidae,Hemiptera,0,TSA,0.0
230,GCWA00000000.1,Aphelonotus fraterculus,Pachynomidae,Hemiptera,0,TSA,0.0
231,GCWO00000000.1,Aphalara polygoni,Aphalaridae,Hemiptera,0,TSA,0.0
232,GCVZ00000000.1,Alydus pilosus,Alydidae,Hemiptera,0,TSA,0.0
233,GCXJ00000000.1,Acutaspis umbonifera,Diaspididae,Hemiptera,0,TSA,0.0
234,GCWU00000000.1,Aclerda sp. AD-2014,Aclerdidae,Hemiptera,0,TSA,0.0
235,GDEM00000000.1,Xenophyes metoponcus,Peloridiidae,Hemiptera,0,TSA,0.0
236,GDFP00000000.1,Glycaspis brimblecombei,Aphalaridae,Hemiptera,0,TSA,0.0
237,GDFL00000000.1,Elipsocus kuriliensis,Elipsocidae,Psocoptera,0,TSA,0.0
238,GDFN00000000.1,Diaphorina citri,Liviidae,Hemiptera,0,TSA,0.0
239,GDFO00000000.1,Aquarius paludum,Gerridae,Hemiptera,0,TSA,0.0
240,GDFC00000000.1,Neoblaste papillosa,Psocidae,Psocoptera,0,TSA,0.0
241,GDFI00000000.1,Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,0,TSA,0.0
242,GDFA00000000.1,Metatropis rufescens,Berytidae,Hemiptera,0,TSA,0.0
243,GDFF00000000.1,Centrotus cornutus,Membracidae,Hemiptera,0,TSA,0.0
244,GDFJ00000000.1,Lygaeus equestris,Lygaeidae,Hemiptera,0,TSA,0.0
245,GDFM00000000.1,Franklinothrips vespiformis,Aeolothripidae,Thysanoptera,1,TSA,1.0
246,GDEZ00000000.1,Arocatus melanocephalus,Lygaeidae,Hemiptera,0,TSA,0.0
247,GDFE00000000.1,Caliscelis bonellii,None,Hemiptera,0,TSA,0.0
248,GDFH00000000.1,Metcalfa pruinosa,Flatidae,Hemiptera,0,TSA,0.0
249,GDFG00000000.1,Badonnelia titei,Sphaeropsocidae,Psocoptera,1,TSA,1.0
250,GDEV00000000.1,Longivalvus nubilus,Psocidae,Psocoptera,0,TSA,0.0
251,GDDU00000000.1,Peripsocus phaeopterus,Peripsocidae,Psocoptera,0,TSA,0.0
252,GDDT00000000.1,Mesopsocus unipunctatus,Mesopsocidae,Psocoptera,0,TSA,0.0
253,GDEU00000000.1,Heterocaecilius solocipennis,Pseudocaeciliidae,Psocoptera,0,TSA,0.0
254,GDEY00000000.1,Aaroniella sp. AD-2014,Philotarsidae,Psocoptera,0,TSA,0.0
255,GDET00000000.1,Bertkauia sp. AD-2014,Epipsocidae,Psocoptera,0,TSA,0.0
256,GDDS00000000.1,Stimulopalpus japonicus,Amphientomidae,Psocoptera,0,TSA,0.0
257,GDES00000000.1,Plea minutissima,Pleidae,Hemiptera,0,TSA,0.0
258,GDEQ00000000.1,Aphelocheirus aestivalis,Aphelocheiridae,Hemiptera,0,TSA,0.0
259,GDER00000000.1,Saldula saltatoria,Saldidae,Hemiptera,0,TSA,0.0
260,GDEP00000000.1,Dictyophara europaea,Dictyopharidae,Hemiptera,0,TSA,0.0
261,GDEX00000000.1,Tachycixius pilosus,Cixiidae,Hemiptera,0,TSA,0.0
262,GDEW00000000.1,Ilyocoris cimicoides,Naucoridae,Hemiptera,0,TSA,0.0
263,GDDR00000000.1,Corixa punctata,Corixidae,Hemiptera,0,TSA,0.0
264,GDFD00000000.1,Aradus betulae,Aradidae,Hemiptera,0,TSA,0.0
265,GDEO00000000.1,Ulopa reticulata,Cicadellidae,Hemiptera,0,TSA,0.0
266,GDEN00000000.1,Aphrophora alni,Aphrophoridae,Hemiptera,0,TSA,0.0
267,GDEK00000000.1,Cimex lectularius,Cimicidae,Hemiptera,0,TSA,0.0
268,GDED00000000.1,Diplonychus rusticus,Belostomatidae,Hemiptera,0,TSA,0.0
269,GDEI00000000.1,Haematomyzus elephantis,Haematomyzidae,Phthiraptera,0,TSA,0.0
270,GDEG00000000.1,Hydrometra stagnorum,Hydrometridae,Hemiptera,0,TSA,0.0
271,GDEH00000000.1,Notonecta glauca,Notonectidae,Hemiptera,0,TSA,0.0
272,GDEA00000000.1,Cerobasis guestfalica,Trogiidae,Psocoptera,0,TSA,0.0
273,GDEB00000000.1,Daktulosphaira vitifoliae,Phylloxeridae,Hemiptera,0,TSA,0.0
274,GDDZ00000000.1,Hemipsocus chloroticus,Hemipsocidae,Psocoptera,0,TSA,0.0
275,GDFK00000000.1,Embidopsocus sp. AD-2014,Liposcelididae,Psocoptera,1,TSA,1.0
276,GDFB00000000.1,Valenzuela badiostigma,Caeciliusidae,Psocoptera,0,TSA,0.0
277,GDEJ00000000.1,Echinophthirius horridus,Echinophthiriidae,Phthiraptera,0,TSA,0.0
278,GDEL00000000.1,Lachesilla abiesicola,Lachesillidae,Psocoptera,0,TSA,0.0
279,GDDY00000000.1,Graphopsocus cruciatus,Stenopsocidae,Psocoptera,0,TSA,0.0
280,GDDQ00000000.1,Matsumuraiella radiopicta,Dasydemellidae,Psocoptera,0,TSA,0.0
281,GDDX00000000.1,Amphipsocus japonicus,Amphipsocidae,Psocoptera,0,TSA,0.0
282,GDDW00000000.1,Corythucha ciliata,Tingidae,Hemiptera,0,TSA,0.0
283,GDEF00000000.1,Graphocephala fennahi,Cicadellidae,Hemiptera,0,TSA,0.0
284,GAYV00000000.2,Liposcelis bostrychophila,Liposcelididae,Psocoptera,2,TSA,2.0
285,GAWQ00000000.2,Okanagana villosa,Cicadidae,Hemiptera,0,TSA,0.0
286,GASV00000000.2,Notostira elongata,Miridae,Hemiptera,0,TSA,0.0
287,GATV00000000.2,Perla marginata,Perlidae,Plecoptera,0,TSA,0.0
288,GAYF00000000.2,Nilaparvata lugens,Delphacidae,Hemiptera,0,TSA,0.0
289,GAUJ00000000.2,Orussus abietinus,Orussidae,Hymenoptera,0,TSA,0.0
290,GAYC00000000.2,Osmylus fulvicephalus,Osmylidae,Neuroptera,0,TSA,0.0
