TSA,tsa_id_x,bioproject_x,biosample_x,sex,stage,tissue,raw_tissue,brain,germline,clean_tissue,clean_stage,clean_sex,egg,larvae,pupae,juvenil,adult,tsa_id_y,tax_id,species,family_id,family_name,order_id,order_name,bioproject_y,biosample_y,sequence_read_archive,download_status
GDZP00000000.1,GDZP,PRJNA286473,SAMN04005259,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDZP00000000.1,1661858,Xenophasmina simile,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286473,SAMN04005259,SRR2230644,False
GDZP00000000.1,GDZP,PRJNA286473,SAMN04005259,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDZP00000000.1,1661858,Xenophasmina simile,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286473,SAMN04005259,SRR2230644,False
GDZO00000000.1,GDZO,PRJNA286361,SAMN04005146,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286361,SAMN04005146,SRR2230531,False
GDZO00000000.1,GDZO,PRJNA286361,SAMN04005146,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDZO00000000.1,1661467,Dimorphodes sp. AD-2015,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286361,SAMN04005146,SRR2230531,False
GDXC00000000.1,GDXC,PRJNA286445,SAMN04005231,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDXC00000000.1,614140,Pseudophasma velutinum,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286445,SAMN04005231,SRR2230616,False
GDXC00000000.1,GDXC,PRJNA286445,SAMN04005231,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDXC00000000.1,614140,Pseudophasma velutinum,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA286445,SAMN04005231,SRR2230616,False
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,SRR2230517,False
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,SRR2230517,False
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDXB00000000.1,7022,Carausius morosus,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286347,SAMN04005132,SRR2230517,False
GDWL00000000.1,GDWL,PRJNA286422,SAMN04005207,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDWL00000000.1,1661841,Orxines xiphias,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286422,SAMN04005207,SRR2230592,False
GDWL00000000.1,GDWL,PRJNA286422,SAMN04005207,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDWL00000000.1,1661841,Orxines xiphias,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286422,SAMN04005207,SRR2230592,False
GDVJ00000000.1,GDVJ,PRJNA286411,SAMN04005196,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDVJ00000000.1,1661838,Neohirasea fruhstorferi,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286411,SAMN04005196,SRR2230581,False
GDVJ00000000.1,GDVJ,PRJNA286411,SAMN04005196,male,None,None,None,0,0,None,None,male,0,0,0,0,0,GDVJ00000000.1,1661838,Neohirasea fruhstorferi,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286411,SAMN04005196,SRR2230581,False
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,SRR2230499,False
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,None,larva,None,None,0,0,None,larvae,None,0,1,0,0,0,GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,SRR2230499,False
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,SRR2230499,False
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,SRR2230542,False
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,SRR2230542,False
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,SRR2230542,False
GEAD00000000.1,GEAD,PRJNA286446,SAMN04005232,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GEAD00000000.1,614142,Pseudosermyle phalangiphora,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286446,SAMN04005232,SRR2230617,False
GEAD00000000.1,GEAD,PRJNA286446,SAMN04005232,male,None,None,None,0,0,None,None,male,0,0,0,0,0,GEAD00000000.1,614142,Pseudosermyle phalangiphora,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286446,SAMN04005232,SRR2230617,False
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,SRR2230550,True
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,SRR2230550,True
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,male,None,None,None,0,0,None,None,male,0,0,0,0,0,GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,SRR2230550,True
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,SRR2230590,True
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,SRR2230590,True
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,SRR2230590,True
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDCD00000000.1,1603015,Diapherodes gigantea,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273031,SAMN03339334,SRR1811967,True
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDCD00000000.1,1603015,Diapherodes gigantea,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273031,SAMN03339334,SRR1811967,True
GDCD00000000.1,GDCD,PRJNA273031,SAMN03339334,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDCD00000000.1,1603015,Diapherodes gigantea,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA273031,SAMN03339334,SRR1811967,True
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDCE00000000.1,614091,Agamemnon cornutus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273019,SAMN03339322,SRR1811955,True
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDCE00000000.1,614091,Agamemnon cornutus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273019,SAMN03339322,SRR1811955,True
GDCE00000000.1,GDCE,PRJNA273019,SAMN03339322,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDCE00000000.1,614091,Agamemnon cornutus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273019,SAMN03339322,SRR1811955,True
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GCPP00000000.1,1603008,Orthomeria sp. AD-2014,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA273045,SAMN03339348,SRR1811981,True
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GCPP00000000.1,1603008,Orthomeria sp. AD-2014,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA273045,SAMN03339348,SRR1811981,True
GCPP00000000.1,GCPP,PRJNA273045,SAMN03339348,missing,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GCPP00000000.1,1603008,Orthomeria sp. AD-2014,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA273045,SAMN03339348,SRR1811981,True
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDCT00000000.1,1603014,Creoxylus spinosus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273030,SAMN03339333,SRR1811966,True
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDCT00000000.1,1603014,Creoxylus spinosus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273030,SAMN03339333,SRR1811966,True
GDCT00000000.1,GDCT,PRJNA273030,SAMN03339333,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDCT00000000.1,1603014,Creoxylus spinosus,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA273030,SAMN03339333,SRR1811966,True
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GDCC00000000.1,1603018,Sipyloidea biplagiata,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA273056,SAMN03339359,SRR1811992,True
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDCC00000000.1,1603018,Sipyloidea biplagiata,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA273056,SAMN03339359,SRR1811992,True
GDCC00000000.1,GDCC,PRJNA273056,SAMN03339359,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDCC00000000.1,1603018,Sipyloidea biplagiata,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA273056,SAMN03339359,SRR1811992,True
GENU00000000.1,GENU,PRJNA298054,SAMN04329923,None,None,head and thorax,head and thorax,1,0,head & thorax,None,None,0,0,0,0,0,GENU00000000.1,753143,Acanthopteroctetes unifascia,128163.0,Acanthopteroctetidae,7088,Lepidoptera,PRJNA298054,SAMN04155507,SRR3180608,True
GENU00000000.1,GENU,PRJNA298054,SAMN04329923,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GENU00000000.1,753143,Acanthopteroctetes unifascia,128163.0,Acanthopteroctetidae,7088,Lepidoptera,PRJNA298054,SAMN04155507,SRR3180608,True
GDXF00000000.1,GDXF,PRJNA286397,SAMN04005182,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDXF00000000.1,629903,Libethra strigiventris,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286397,SAMN04005182,SRR2230567,False
GDXF00000000.1,GDXF,PRJNA286397,SAMN04005182,None,None,head and 6 legs,head and 6 legs,1,0,head,None,None,0,0,0,0,0,GDXF00000000.1,629903,Libethra strigiventris,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286397,SAMN04005182,SRR2230567,False
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,SRR2230537,False
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,SRR2230537,False
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,None,None,head and forelegs,head and forelegs,1,0,head,None,None,0,0,0,0,0,GDXL00000000.1,262147,Epidares nolimetangere,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286367,SAMN04005152,SRR2230537,False
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,SRR2230626,False
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,male,None,None,None,0,0,None,None,male,0,0,0,0,0,GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,SRR2230626,False
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,None,None,1 leg,1 leg,0,0,leg,None,None,0,0,0,0,0,GDYH00000000.1,1661914,Spathomorpha lancettifer,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286455,SAMN04005241,SRR2230626,False
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,None,nymph,None,None,0,0,None,nymph,None,0,0,0,1,0,GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,SRR2230546,False
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,female,None,None,None,0,0,None,None,female,0,0,0,0,0,GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,SRR2230546,False
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,None,None,head and forelegs,head and forelegs,1,0,head,None,None,0,0,0,0,0,GDZM00000000.1,7024,Extatosoma tiaratum,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286376,SAMN04005161,SRR2230546,False
GDWZ00000000.1,GDWZ,PRJNA286328,SAMN04005111,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDWZ00000000.1,1661800,Abrosoma johorense,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA286328,SAMN04005111,SRR2230496,False
GDWZ00000000.1,GDWZ,PRJNA286328,SAMN04005111,None,None,whole organism,whole organism,0,0,whole organism,None,None,0,0,0,0,0,GDWZ00000000.1,1661800,Abrosoma johorense,262154.0,Aschiphasmatidae,7020,Phasmatodea,PRJNA286328,SAMN04005111,SRR2230496,False
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,SRR2230515,False
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,SRR2230515,False
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,None,None,whole organism,whole organism,0,0,whole organism,None,None,0,0,0,0,0,GDTQ00000000.1,75184,Bacillus rossius,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286345,SAMN04005130,SRR2230515,False
GDVL00000000.1,GDVL,PRJNA286457,SAMN04005243,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDVL00000000.1,741259,Spinotectarchus acornutus,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286457,SAMN04005243,SRR2230628,False
GDVL00000000.1,GDVL,PRJNA286457,SAMN04005243,None,None,3 legs,3 legs,0,0,leg,None,None,0,0,0,0,0,GDVL00000000.1,741259,Spinotectarchus acornutus,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286457,SAMN04005243,SRR2230628,False
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,None,adult,None,None,0,0,None,adult,None,0,0,0,0,1,GDYY00000000.1,58611,Agathemera crassa,523710.0,Agathemeridae,7020,Phasmatodea,PRJNA286334,SAMN04005117,SRR2230502,False
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,not determined,None,None,None,0,0,None,None,undetermined sex,0,0,0,0,0,GDYY00000000.1,58611,Agathemera crassa,523710.0,Agathemeridae,7020,Phasmatodea,PRJNA286334,SAMN04005117,SRR2230502,False
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,None,None,head and prothorax,head and prothorax,1,0,head & prothorax,None,None,0,0,0,0,0,GDYY00000000.1,58611,Agathemera crassa,523710.0,Agathemeridae,7020,Phasmatodea,PRJNA286334,SAMN04005117,SRR2230502,False
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331412,None,prepupa,None,None,0,0,None,pupae,None,0,0,1,0,0,GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,"SAMN12331412,SAMN12331413,SAMN12331414,SAMN12331415,SAMN12331416,SAMN12331417,SAMN12331418,SAMN12331419,SAMN12331420,SAMN12331421,SAMN12331422,SAMN12331423,SAMN12331424,SAMN12331425,SAMN12331426,SAMN12331427,SAMN12331428,SAMN12331429,SAMN12331430,SAMN12331431,SAMN12331432,SAMN12331433,SAMN12331434,SAMN12331435","SRR9724636,SRR9724637,SRR9724638,SRR9724639,SRR9724640,SRR9724641,SRR9724642,SRR9724643,SRR9724644,SRR9724645,SRR9724646,SRR9724647,SRR9724648,SRR9724649,SRR9724650,SRR9724651,SRR9724652,SRR9724653,SRR9724654,SRR9724655,SRR9724656,SRR9724657,SRR9724658,SRR9724659",False
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331413,None,prepupa,None,None,0,0,None,pupae,None,0,0,1,0,0,GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,"SAMN12331412,SAMN12331413,SAMN12331414,SAMN12331415,SAMN12331416,SAMN12331417,SAMN12331418,SAMN12331419,SAMN12331420,SAMN12331421,SAMN12331422,SAMN12331423,SAMN12331424,SAMN12331425,SAMN12331426,SAMN12331427,SAMN12331428,SAMN12331429,SAMN12331430,SAMN12331431,SAMN12331432,SAMN12331433,SAMN12331434,SAMN12331435","SRR9724636,SRR9724637,SRR9724638,SRR9724639,SRR9724640,SRR9724641,SRR9724642,SRR9724643,SRR9724644,SRR9724645,SRR9724646,SRR9724647,SRR9724648,SRR9724649,SRR9724650,SRR9724651,SRR9724652,SRR9724653,SRR9724654,SRR9724655,SRR9724656,SRR9724657,SRR9724658,SRR9724659",False
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331414,None,prepupa,None,None,0,0,None,pupae,None,0,0,1,0,0,GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,"SAMN12331412,SAMN12331413,SAMN12331414,SAMN12331415,SAMN12331416,SAMN12331417,SAMN12331418,SAMN12331419,SAMN12331420,SAMN12331421,SAMN12331422,SAMN12331423,SAMN12331424,SAMN12331425,SAMN12331426,SAMN12331427,SAMN12331428,SAMN12331429,SAMN12331430,SAMN12331431,SAMN12331432,SAMN12331433,SAMN12331434,SAMN12331435","SRR9724636,SRR9724637,SRR9724638,SRR9724639,SRR9724640,SRR9724641,SRR9724642,SRR9724643,SRR9724644,SRR9724645,SRR9724646,SRR9724647,SRR9724648,SRR9724649,SRR9724650,SRR9724651,SRR9724652,SRR9724653,SRR9724654,SRR9724655,SRR9724656,SRR9724657,SRR9724658,SRR9724659",False
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331415,None,prepupa,None,None,0,0,None,pupae,None,0,0,1,0,0,GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,"SAMN12331412,SAMN12331413,SAMN12331414,SAMN12331415,SAMN12331416,SAMN12331417,SAMN12331418,SAMN12331419,SAMN12331420,SAMN12331421,SAMN12331422,SAMN12331423,SAMN12331424,SAMN12331425,SAMN12331426,SAMN12331427,SAMN12331428,SAMN12331429,SAMN12331430,SAMN12331431,SAMN12331432,SAMN12331433,SAMN12331434,SAMN12331435","SRR9724636,SRR9724637,SRR9724638,SRR9724639,SRR9724640,SRR9724641,SRR9724642,SRR9724643,SRR9724644,SRR9724645,SRR9724646,SRR9724647,SRR9724648,SRR9724649,SRR9724650,SRR9724651,SRR9724652,SRR9724653,SRR9724654,SRR9724655,SRR9724656,SRR9724657,SRR9724658,SRR9724659",False
