TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331420,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331420,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331421,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331421,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331422,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331422,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331423,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331423,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331424,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331424,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331425,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331425,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331426,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331426,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331427,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331427,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331428,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331428,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331429,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331429,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331430,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331430,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331431,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331431,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331432,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331432,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331433,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331433,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331434,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331434,None,1day pupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331435,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331435,None,1day pupa,None
GHRM00000000.1,GHRM,PRJNA288990,SAMN03840585,None,None,whole insect
GHRM00000000.1,GHRM,PRJNA288990,SAMN03840585,pooled male and female,None,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032278,None,None,whole organism
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032278,None,adult,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032278,male,None,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032279,None,None,whole organism
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032279,None,adult,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032279,female,None,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032280,None,None,whole organism
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032280,None,juvenile,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032280,pooled male and female,None,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032302,None,None,whole organism
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032302,None,developmental; pre-hatch,None
GHRK00000000.1,GHRK,PRJNA490283,SAMN10032302,pooled male and female,None,None
GGRL00000000.1,GGRL,PRJNA412985,SAMN07734740,None,None,adult
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011958,None,lfi1,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011958,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011958,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011959,None,lfi2,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011959,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011959,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011960,None,lfi3,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011960,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011960,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011961,None,plfi1,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011961,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011961,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011962,None,plfi2,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011962,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011962,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011963,None,plfi3,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011963,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011963,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011964,None,tlfi1,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011964,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011964,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011965,None,tlfi2,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011965,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011965,None,None,larval head
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011966,None,tlfi3,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011966,not collected,None,None
GHNK00000000.1,GHNK,PRJNA548236,SAMN12011966,None,None,larval head
IADH00000000.1,IADH,PRJDB6525,SAMD00128865,None,larvae,None
IADH00000000.1,IADH,PRJDB6525,SAMD00128866,None,larvae,None
IADH00000000.1,IADH,PRJDB6525,SAMD00128867,None,larvae,None
IADH00000000.1,IADH,PRJDB6525,SAMD00128868,None,larvae,None
IADH00000000.1,IADH,PRJDB6525,SAMD00128869,None,larvae,None
IADH00000000.1,IADH,PRJDB6525,SAMD00128870,None,larvae,None
IADS00000000.1,IADS,PRJDB7623,SAMD00148853,None,adult,None
IADS00000000.1,IADS,PRJDB7623,SAMD00148853,None,None,whole body
IADS00000000.1,IADS,PRJDB7623,SAMD00148854,None,adult,None
IADS00000000.1,IADS,PRJDB7623,SAMD00148854,None,None,whole body
IADS00000000.1,IADS,PRJDB7623,SAMD00148855,None,adult,None
IADS00000000.1,IADS,PRJDB7623,SAMD00148855,None,None,whole body
GHOS00000000.1,GHOS,PRJNA221630,SAMN02364145,None,None,None
GHOS00000000.1,GHOS,PRJNA221630,SAMN02364146,None,None,None
GHOS00000000.1,GHOS,PRJNA221630,SAMN02671262,male,None,None
GHOS00000000.1,GHOS,PRJNA221630,SAMN02671262,None,None,brain
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045884,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045884,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045885,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045885,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045886,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045886,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045887,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045887,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045888,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045888,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045889,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045889,None,worker,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045890,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045890,None,reproductive,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045891,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045891,None,reproductive,None
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045892,None,None,heads
GHNP00000000.1,GHNP,PRJNA548499,SAMN12045892,None,reproductive,None
IAEB00000000.1,IAEB,PRJDB7701,SAMD00152162,None,None,None
IAEB00000000.1,IAEB,PRJDB7701,SAMD00152163,None,None,None
IAEB00000000.1,IAEB,PRJDB7701,SAMD00152164,None,None,None
IAEB00000000.1,IAEB,PRJDB7701,SAMD00152165,None,None,None
IAEB00000000.1,IAEB,PRJDB7701,SAMD00152166,None,None,None
GGAG00000000.1,GGAG,PRJNA417995,SAMN08013300,None,None,whole body tisue
GGAG00000000.1,GGAG,PRJNA417995,SAMN08013300,None,nymphs,None
GGAG00000000.1,GGAG,PRJNA417995,SAMN08013300,pooled male and female,None,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032278,None,None,whole organism
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032278,None,adult,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032278,male,None,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032279,None,None,whole organism
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032279,None,adult,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032279,female,None,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032280,None,None,whole organism
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032280,None,juvenile,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032280,pooled male and female,None,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032302,None,None,whole organism
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032302,None,developmental; pre-hatch,None
GHNJ00000000.1,GHNJ,PRJNA490283,SAMN10032302,pooled male and female,None,None
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867978,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867979,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867980,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867981,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867982,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867983,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867984,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867985,None,None,heads
GHMS00000000.1,GHMS,PRJNA545003,SAMN11867986,None,None,heads
GHLY00000000.1,GHLY,PRJNA511760,SAMN10643380,None,None,whole insect
GHLY00000000.1,GHLY,PRJNA511760,SAMN10643380,pooled male and female,None,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153879,None,1st instar nymph,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153879,None,None,large globular cells
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153880,None,1st instar nymph,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153880,None,None,whole body
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153881,None,middle instar individual,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153881,None,None,whole body
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153882,None,adult,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153882,None,None,whole body
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153883,None,embryo,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153883,None,None,whole body
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153884,None,adult,None
IAEA00000000.1,IAEA,PRJDB7750,SAMD00153884,None,None,body carcass without embryos
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374128,None,None,salivary glands
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374128,None,adult,None
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374128,pooled male and female,None,None
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374129,None,None,fat body
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374129,None,adult,None
GFTR00000000.1,GFTR,PRJNA395235,SAMN07374129,pooled male and female,None,None
GEMB00000000.1,GEMB,PRJNA314811,SAMN04543919,None,None,integument
GECL00000000.1,GECL,PRJNA300554,SAMN04240765,None,5th instar nymph,None
GECL00000000.1,GECL,PRJNA300554,SAMN04240765,pooled male and female,None,None
GECL00000000.1,GECL,PRJNA300554,SAMN04240765,None,None,salivary glands
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618861,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618862,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618863,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618868,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618869,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618873,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618874,None,None,None
GHKJ00000000.1,GHKJ,PRJNA191820,SAMN00618883,None,None,None
GHKV00000000.1,GHKV,PRJNA525981,SAMN11081372,None,None,whole body without gut
GHKV00000000.1,GHKV,PRJNA525981,SAMN11081372,male and female,None,None
GHKU00000000.1,GHKU,PRJNA515785,SAMN10754254,None,None,ovary
GFQQ00000000.1,GFQQ,PRJNA392363,SAMN07296906,None,None,whole body tissue
GFQQ00000000.1,GFQQ,PRJNA392363,SAMN07296906,None,adults and nymphs,None
GDPI00000000.1,GDPI,PRJNA286520,SAMN03799564,None,None,whole organism
GDPI00000000.1,GDPI,PRJNA286520,SAMN03799564,None,adult,None
GDPI00000000.1,GDPI,PRJNA286520,SAMN03799564,not determined,None,None
GDMH00000000.1,GDMH,PRJNA286505,SAMN03799549,None,None,whole organism
GDMH00000000.1,GDMH,PRJNA286505,SAMN03799549,None,adult,None
GDMH00000000.1,GDMH,PRJNA286505,SAMN03799549,not determined,None,None
GDLF00000000.1,GDLF,PRJNA286499,SAMN03799544,None,None,whole organism
GDLF00000000.1,GDLF,PRJNA286499,SAMN03799544,None,adult,None
GDLF00000000.1,GDLF,PRJNA286499,SAMN03799544,not determined,None,None
HAMG00000000.1,HAMG,PRJEB28202,SAMEA4853205,None,None,None
HAMF00000000.1,HAMF,PRJEB28202,SAMEA4853110,None,None,None
GHJE00000000.1,GHJE,PRJNA437351,SAMN08660877,None,adult,None
GHJE00000000.1,GHJE,PRJNA437351,SAMN08660877,not determined,None,None
GHJE00000000.1,GHJE,PRJNA437351,SAMN08660877,None,None,whole body
GCWI00000000.1,GCWI,PRJNA272226,SAMN03341938,None,None,whole organism
GCWI00000000.1,GCWI,PRJNA272226,SAMN03341938,None,adult,None
GCWI00000000.1,GCWI,PRJNA272226,SAMN03341938,missing,None,None
GHGZ00000000.1,GHGZ,PRJNA523326,SAMN09241884,None,None,mid-gut
GDMW00000000.1,GDMW,PRJNA286525,SAMN03799569,None,None,whole organism
GDMW00000000.1,GDMW,PRJNA286525,SAMN03799569,None,adult,None
GDMW00000000.1,GDMW,PRJNA286525,SAMN03799569,not determined,None,None
GDNH00000000.1,GDNH,PRJNA286492,SAMN03799537,None,None,whole organism
GDNH00000000.1,GDNH,PRJNA286492,SAMN03799537,None,adult,None
GDNH00000000.1,GDNH,PRJNA286492,SAMN03799537,not determined,None,None
GDLH00000000.1,GDLH,PRJNA286512,SAMN03799556,None,None,whole organism
GDLH00000000.1,GDLH,PRJNA286512,SAMN03799556,None,adult,None
GDLH00000000.1,GDLH,PRJNA286512,SAMN03799556,not determined,None,None
GDNB00000000.1,GDNB,PRJNA286516,SAMN03799560,None,None,whole organism
GDNB00000000.1,GDNB,PRJNA286516,SAMN03799560,None,adult,None
GDNB00000000.1,GDNB,PRJNA286516,SAMN03799560,not determined,None,None
GDNA00000000.1,GDNA,PRJNA286561,SAMN03799605,None,None,whole organism
GDNA00000000.1,GDNA,PRJNA286561,SAMN03799605,None,adult,None
GDNA00000000.1,GDNA,PRJNA286561,SAMN03799605,not determined,None,None
GFUK00000000.1,GFUK,PRJNA392382,SAMN07297121,None,None,whole organism
GFUK00000000.1,GFUK,PRJNA392382,SAMN07297121,None,adult,None
GFUK00000000.1,GFUK,PRJNA392382,SAMN07297121,not determined,None,None
GFUI00000000.1,GFUI,PRJNA392045,SAMN07280875,None,None,whole organism
GFUI00000000.1,GFUI,PRJNA392045,SAMN07280875,not determined,None,None
GFUO00000000.1,GFUO,PRJNA391973,SAMN07279561,None,None,whole organism
GFUO00000000.1,GFUO,PRJNA391973,SAMN07279561,None,adult,None
GFUO00000000.1,GFUO,PRJNA391973,SAMN07279561,missing,None,None
GFUH00000000.1,GFUH,PRJNA392306,SAMN07289768,None,None,whole organism
GFUH00000000.1,GFUH,PRJNA392306,SAMN07289768,None,adult,None
GFUH00000000.1,GFUH,PRJNA392306,SAMN07289768,not determined,None,None
GFUJ00000000.1,GFUJ,PRJNA392058,SAMN07280954,None,None,whole organism
GFUJ00000000.1,GFUJ,PRJNA392058,SAMN07280954,not determined,None,None
GFUN00000000.1,GFUN,PRJNA392270,SAMN07287246,None,None,whole organism
GFUN00000000.1,GFUN,PRJNA392270,SAMN07287246,None,adult,None
GFUN00000000.1,GFUN,PRJNA392270,SAMN07287246,not determined,None,None
GHFS00000000.1,GHFS,PRJNA411946,SAMN07691949,None,None,head and abdomen
GHFS00000000.1,GHFS,PRJNA411946,SAMN07691949,None,adult,None
GHFS00000000.1,GHFS,PRJNA411946,SAMN07691949,female,None,None
GHFP00000000.1,GHFP,PRJNA411946,SAMN07691946,None,None,head and abdomen
GHFP00000000.1,GHFP,PRJNA411946,SAMN07691946,None,adult,None
GHFP00000000.1,GHFP,PRJNA411946,SAMN07691946,female,None,None
GHFU00000000.1,GHFU,PRJNA411946,SAMN07691956,None,None,head and abdomen
GHFU00000000.1,GHFU,PRJNA411946,SAMN07691956,None,adult,None
GHFU00000000.1,GHFU,PRJNA411946,SAMN07691956,female,None,None
GHGA00000000.1,GHGA,PRJNA411946,SAMN07691952,None,None,head and abdomen
GHGA00000000.1,GHGA,PRJNA411946,SAMN07691952,None,adult,None
GHGA00000000.1,GHGA,PRJNA411946,SAMN07691952,female,None,None
GHFY00000000.1,GHFY,PRJNA411946,SAMN07691958,None,None,head and abdomen
GHFY00000000.1,GHFY,PRJNA411946,SAMN07691958,None,adult,None
GHFY00000000.1,GHFY,PRJNA411946,SAMN07691958,female,None,None
GHFZ00000000.1,GHFZ,PRJNA411946,SAMN07691951,None,None,head and abdomen
GHFZ00000000.1,GHFZ,PRJNA411946,SAMN07691951,None,adult,None
GHFZ00000000.1,GHFZ,PRJNA411946,SAMN07691951,female,None,None
GHFQ00000000.1,GHFQ,PRJNA411946,SAMN07691947,None,None,head and abdomen
GHFQ00000000.1,GHFQ,PRJNA411946,SAMN07691947,None,adult,None
GHFQ00000000.1,GHFQ,PRJNA411946,SAMN07691947,female,None,None
GHFW00000000.1,GHFW,PRJNA411946,SAMN07691960,None,None,head and abdomen
GHFW00000000.1,GHFW,PRJNA411946,SAMN07691960,None,adult,None
GHFW00000000.1,GHFW,PRJNA411946,SAMN07691960,female,None,None
GHGB00000000.1,GHGB,PRJNA411946,SAMN07691957,None,None,head and abdomen
GHGB00000000.1,GHGB,PRJNA411946,SAMN07691957,None,adult,None
GHGB00000000.1,GHGB,PRJNA411946,SAMN07691957,female,None,None
GHFV00000000.1,GHFV,PRJNA411946,SAMN07691955,None,None,head and abdomen
GHFV00000000.1,GHFV,PRJNA411946,SAMN07691955,None,adult,None
GHFV00000000.1,GHFV,PRJNA411946,SAMN07691955,female,None,None
GHGD00000000.1,GHGD,PRJNA411946,SAMN07691953,None,None,head and abdomen
GHGD00000000.1,GHGD,PRJNA411946,SAMN07691953,None,adult,None
GHGD00000000.1,GHGD,PRJNA411946,SAMN07691953,female,None,None
GHGC00000000.1,GHGC,PRJNA411946,SAMN07691954,None,None,head and abdomen
GHGC00000000.1,GHGC,PRJNA411946,SAMN07691954,None,adult,None
GHGC00000000.1,GHGC,PRJNA411946,SAMN07691954,female,None,None
GHFT00000000.1,GHFT,PRJNA411946,SAMN07691950,None,None,head and abdomen
GHFT00000000.1,GHFT,PRJNA411946,SAMN07691950,None,adult,None
GHFT00000000.1,GHFT,PRJNA411946,SAMN07691950,female,None,None
GHFR00000000.1,GHFR,PRJNA411946,SAMN07691948,None,None,head and abdomen
GHFR00000000.1,GHFR,PRJNA411946,SAMN07691948,None,adult,None
GHFR00000000.1,GHFR,PRJNA411946,SAMN07691948,female,None,None
GHFO00000000.1,GHFO,PRJNA411946,SAMN07691945,None,None,head and abdomen
GHFO00000000.1,GHFO,PRJNA411946,SAMN07691945,None,adult,None
GHFO00000000.1,GHFO,PRJNA411946,SAMN07691945,female,None,None
GHFX00000000.1,GHFX,PRJNA411946,SAMN07691959,None,None,head and abdomen
GHFX00000000.1,GHFX,PRJNA411946,SAMN07691959,None,adult,None
GHFX00000000.1,GHFX,PRJNA411946,SAMN07691959,female,None,None
GCGW00000000.1,GCGW,PRJNA267975,SAMN03223137,None,None,whole organism
