#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name             accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------   -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g29091.t1            -          oskar_filtered.aligned -           1.7e-126  416.2  12.1  1.9e-126  416.0  12.1   1.0   1   0   0   1   1   1   1 -
g8891.t1             -          oskar_filtered.aligned -           1.9e-126  416.0  13.3  5.3e-126  414.6  13.3   1.6   1   1   0   1   1   1   1 -
g3908.t1             -          oskar_filtered.aligned -           7.8e-125  410.7   7.1  1.3e-124  410.0   7.1   1.3   1   0   0   1   1   1   1 -
g1130.t1             -          oskar_filtered.aligned -           1.2e-124  410.1  10.5  1.5e-124  409.7  10.5   1.1   1   0   0   1   1   1   1 -
g9944.t1             -          oskar_filtered.aligned -           2.8e-122  402.2  18.4   3.9e-65  213.0   0.6   3.0   1   1   2   3   3   3   3 -
g1774.t1             -          oskar_filtered.aligned -           3.4e-120  395.3  12.4  4.6e-120  394.9  12.4   1.0   1   0   0   1   1   1   1 -
g8459.t1             -          oskar_filtered.aligned -           3.9e-118  388.5   0.0  4.6e-118  388.3   0.0   1.0   1   0   0   1   1   1   1 -
g204.t1              -          oskar_filtered.aligned -           4.1e-118  388.4   0.0  4.8e-118  388.2   0.0   1.0   1   0   0   1   1   1   1 -
g10533.t1            -          oskar_filtered.aligned -           4.8e-118  388.2   0.0  5.6e-118  388.0   0.0   1.0   1   0   0   1   1   1   1 -
g2004.t1             -          oskar_filtered.aligned -           2.4e-116  382.6   0.0  2.7e-116  382.4   0.0   1.0   1   0   0   1   1   1   1 -
g8591.t1             -          oskar_filtered.aligned -           1.9e-115  379.6   0.0  2.3e-115  379.4   0.0   1.0   1   0   0   1   1   1   1 -
g6913.t1             -          oskar_filtered.aligned -           2.5e-115  379.2   0.0    3e-115  379.0   0.0   1.0   1   0   0   1   1   1   1 -
g305.t1              -          oskar_filtered.aligned -           1.3e-114  376.9   0.0  1.6e-114  376.6   0.0   1.0   1   0   0   1   1   1   1 -
g5263.t1             -          oskar_filtered.aligned -           2.3e-114  376.0   0.0  2.6e-114  375.9   0.0   1.0   1   0   0   1   1   1   1 -
g2916.t1             -          oskar_filtered.aligned -           2.6e-114  375.8   0.0  3.7e-114  375.3   0.0   1.2   1   0   0   1   1   1   1 -
g8324.t1             -          oskar_filtered.aligned -           3.4e-114  375.5   0.0    4e-114  375.2   0.0   1.0   1   0   0   1   1   1   1 -
g17379.t1            -          oskar_filtered.aligned -           1.1e-112  370.5   2.8  1.9e-112  369.7   2.8   1.2   1   0   0   1   1   1   1 -
g8569.t1             -          oskar_filtered.aligned -           1.1e-111  367.2   0.0  1.2e-111  367.0   0.0   1.0   1   0   0   1   1   1   1 -
g3426.t1             -          oskar_filtered.aligned -           1.2e-111  367.1   0.0  1.4e-111  366.8   0.0   1.0   1   0   0   1   1   1   1 -
g2419.t1             -          oskar_filtered.aligned -           1.9e-111  366.4   0.0  2.3e-111  366.1   0.0   1.0   1   0   0   1   1   1   1 -
g303.t1              -          oskar_filtered.aligned -           1.9e-111  366.4   0.0  2.1e-111  366.2   0.0   1.0   1   0   0   1   1   1   1 -
g3506.t1             -          oskar_filtered.aligned -           2.8e-111  365.8  16.9   3.5e-74  243.0   0.8   2.0   1   1   1   2   2   2   2 -
g25413.t1            -          oskar_filtered.aligned -           6.1e-110  361.4   9.7   4.7e-84  275.7   4.9   2.0   1   1   1   2   2   2   2 -
g8282.t1             -          oskar_filtered.aligned -           3.7e-109  358.8   0.0  4.8e-109  358.4   0.0   1.1   1   0   0   1   1   1   1 -
g18308.t1            -          oskar_filtered.aligned -           4.2e-109  358.6  16.9  4.9e-109  358.4  16.9   1.1   1   0   0   1   1   1   1 -
g13646.t1            -          oskar_filtered.aligned -           5.2e-109  358.3  16.3  6.1e-109  358.1  16.3   1.1   1   0   0   1   1   1   1 -
g3491.t1             -          oskar_filtered.aligned -           9.6e-109  357.4   0.0  1.3e-108  357.0   0.0   1.0   1   0   0   1   1   1   1 -
g46902.t1            -          oskar_filtered.aligned -           6.5e-107  351.4  16.7  7.4e-107  351.2  16.7   1.0   1   0   0   1   1   1   1 -
g24715.t1            -          oskar_filtered.aligned -           9.1e-107  350.9   4.4  5.9e-105  344.9   4.4   2.0   1   1   0   1   1   1   1 -
g34475.t1            -          oskar_filtered.aligned -           2.1e-102  336.4   5.1  9.5e-101  330.9   5.1   2.0   1   1   0   1   1   1   1 -
g10169.t1            -          oskar_filtered.aligned -           4.2e-101  332.1  11.1  1.1e-100  330.7  11.1   1.6   1   1   0   1   1   1   1 -
g43237.t1            -          oskar_filtered.aligned -              8e-99  324.6  10.3   9.6e-99  324.3  10.3   1.1   1   0   0   1   1   1   1 -
g10482.t1            -          oskar_filtered.aligned -            1.1e-97  320.8   0.1   2.2e-96  316.5   0.1   2.0   1   1   0   1   1   1   1 -
g5007.t1             -          oskar_filtered.aligned -              3e-95  312.7   0.0   4.1e-95  312.3   0.0   1.0   1   0   0   1   1   1   1 -
g5867.t1             -          oskar_filtered.aligned -            1.2e-92  304.1   0.0     2e-92  303.4   0.0   1.3   1   0   0   1   1   1   1 -
g5123.t1             -          oskar_filtered.aligned -            7.2e-90  294.9   0.5   3.2e-87  286.2   0.5   2.0   1   1   0   1   1   1   1 -
g2660.t1             -          oskar_filtered.aligned -            1.6e-89  293.7   0.1   2.4e-89  293.2   0.1   1.2   1   0   0   1   1   1   1 -
g1935.t1             -          oskar_filtered.aligned -            4.2e-88  289.1   3.9   1.4e-87  287.3   3.9   1.7   1   1   0   1   1   1   1 -
g14948.t1            -          oskar_filtered.aligned -            6.4e-87  285.2  28.0   1.2e-82  271.1  28.0   2.8   1   1   0   1   1   1   1 -
g6403.t1             -          oskar_filtered.aligned -            3.8e-61  199.9   5.8   1.7e-60  197.7   5.8   1.7   1   1   0   1   1   1   1 -
g35383.t1            -          oskar_filtered.aligned -            2.3e-60  197.2   0.4   8.3e-37  119.3   0.2   2.0   1   1   1   2   2   2   2 -
g2737.t1             -          oskar_filtered.aligned -            1.4e-57  188.0  12.9   3.1e-52  170.4   4.9   2.0   1   1   1   2   2   2   2 -
g4008.t1             -          oskar_filtered.aligned -            1.3e-54  178.2  16.8   1.6e-54  177.9  16.8   1.0   1   0   0   1   1   1   1 -
g1846.t1             -          oskar_filtered.aligned -            5.8e-54  176.1  28.7   9.4e-53  172.1  28.7   1.9   1   1   0   1   1   1   1 -
g37762.t1            -          oskar_filtered.aligned -            4.8e-53  173.0   5.2   8.7e-53  172.2   5.2   1.3   1   1   0   1   1   1   1 -
g8098.t1             -          oskar_filtered.aligned -            1.9e-49  161.1   6.7   2.4e-49  160.8   6.7   1.0   1   0   0   1   1   1   1 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSKAR_CONSENSUS.hmm
# Target file:     ../Data/01_Oskar_identification/oskar_tracker_results/GCA/gca_oskar_candidates.fasta
# Option settings: hmmsearch --tblout ../Data/01_Oskar_identification/oskar_tracker_results/GCA_V3/final_gca_oskar_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSKAR_CONSENSUS.hmm ../Data/01_Oskar_identification/oskar_tracker_results/GCA/gca_oskar_candidates.fasta 
# Current dir:     /home/xqua/Documents/Extavour/Projects/Project_Oskar_Evolution/Paper/Oskar_Orthologs/01_Oskar_identification
# Date:            Fri Dec 13 13:34:25 2019
# [ok]
