#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEO01046398.1_3     -          OSK_CONSENSUS        -            6.3e-27   98.1   0.5   1.2e-26   97.2   0.5   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s9182_L_32229_0_a_4_7_l_1098, transcribed RNA sequence
GDEO01040932.1_2     -          OSK_CONSENSUS        -            5.6e-08   36.5   0.3   1.1e-07   35.6   0.3   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4249_L_7393_2_a_17_5_l_1056, transcribed RNA sequence
GDEO01040930.1_1     -          OSK_CONSENSUS        -            5.8e-08   36.4   0.3   1.2e-07   35.5   0.3   1.5   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4247_L_7393_0_a_18_4_l_1088, transcribed RNA sequence
GDEO01036533.1_3     -          OSK_CONSENSUS        -            2.2e-07   34.6   0.4   3.8e-07   33.8   0.4   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C203391_a_47_0_l_1963, transcribed RNA sequence
GDEO01003173.1_4     -          OSK_CONSENSUS        -            2.3e-07   34.5   0.1   2.4e-07   34.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C111158_a_3_0_l_223, transcribed RNA sequence
GDEO01040931.1_1     -          OSK_CONSENSUS        -            2.5e-07   34.4   0.3   5.2e-07   33.3   0.3   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s4248_L_7393_1_a_18_6_l_2519, transcribed RNA sequence
GDEO01037087.1_2     -          OSK_CONSENSUS        -            2.9e-07   34.2   0.0   4.6e-07   33.5   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s10292_L_44654_0_a_24_4_l_1104, transcribed RNA sequence
GDEO01037790.1_4     -          OSK_CONSENSUS        -            3.4e-07   33.9   0.0   7.3e-07   32.9   0.0   1.5   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s140_L_185_0_a_10_5_l_1394, transcribed RNA sequence
GDEO01026107.1_6     -          OSK_CONSENSUS        -            1.5e-06   31.8   0.0     2e-06   31.4   0.0   1.1   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C173944_a_11_0_l_505, transcribed RNA sequence
GDEO01037921.1_5     -          OSK_CONSENSUS        -            1.9e-06   31.5   0.5   7.5e-06   29.6   0.0   2.0   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s1528_L_1988_1_a_9_7_l_935, transcribed RNA sequence
GDEO01037920.1_5     -          OSK_CONSENSUS        -            4.3e-06   30.3   0.4   1.4e-05   28.7   0.0   1.8   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s1527_L_1988_0_a_10_2_l_1208, transcribed RNA sequence
GDEO01046207.1_1     -          OSK_CONSENSUS        -              7e-06   29.7   0.0     1e-05   29.1   0.0   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s900_L_1148_1_a_19_8_l_855, transcribed RNA sequence
GDEO01023172.1_3     -          OSK_CONSENSUS        -            1.5e-05   28.6   0.8     2e-05   28.2   0.8   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C165417_a_4_0_l_428, transcribed RNA sequence
GDEO01039113.1_4     -          OSK_CONSENSUS        -            1.5e-05   28.6   0.6   9.6e-05   26.0   0.0   2.1   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s2602_L_3737_0_a_13_2_l_925, transcribed RNA sequence
GDEO01039822.1_5     -          OSK_CONSENSUS        -            1.6e-05   28.5   0.2   4.1e-05   27.2   0.0   1.8   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s3243_L_5002_2_a_15_5_l_1248, transcribed RNA sequence
GDEO01039820.1_5     -          OSK_CONSENSUS        -            1.7e-05   28.4   0.2   4.2e-05   27.1   0.0   1.8   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s3241_L_5002_0_a_15_9_l_1257, transcribed RNA sequence
GDEO01039823.1_5     -          OSK_CONSENSUS        -            1.8e-05   28.4   0.0   3.4e-05   27.4   0.0   1.5   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s3244_L_5002_3_a_9_0_l_1136, transcribed RNA sequence
GDEO01041871.1_1     -          OSK_CONSENSUS        -            3.2e-05   27.5   0.0   5.1e-05   26.8   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s5096_L_9443_0_a_25_6_l_1058, transcribed RNA sequence
GDEO01040103.1_4     -          OSK_CONSENSUS        -            3.8e-05   27.3   0.4   0.00065   23.3   0.0   2.1   2   0   0   2   2   2   1 TSA: Ulopa reticulata breed wildtype s3500_L_5559_0_a_5_6_l_616, transcribed RNA sequence
GDEO01039821.1_5     -          OSK_CONSENSUS        -            5.2e-05   26.8   0.8   8.6e-05   26.1   0.0   1.8   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s3242_L_5002_1_a_19_1_l_1890, transcribed RNA sequence
GDEO01004830.1_3     -          OSK_CONSENSUS        -            6.9e-05   26.4   0.1   6.9e-05   26.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C115595_a_3_0_l_233, transcribed RNA sequence
GDEO01033949.1_5     -          OSK_CONSENSUS        -            8.9e-05   26.1   0.1   0.00014   25.4   0.1   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C196490_a_28_0_l_1006, transcribed RNA sequence
GDEO01025766.1_3     -          OSK_CONSENSUS        -            0.00037   24.0   0.0    0.0005   23.7   0.0   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C172950_a_45_0_l_494, transcribed RNA sequence
GDEO01012670.1_4     -          OSK_CONSENSUS        -            0.00039   24.0   0.0   0.00041   23.9   0.0   1.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C135505_a_6_0_l_277, transcribed RNA sequence
GDEO01037292.1_2     -          OSK_CONSENSUS        -             0.0018   21.9   0.2    0.0043   20.6   0.2   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s10476_L_48580_0_a_16_6_l_1725, transcribed RNA sequence
GDEO01045082.1_3     -          OSK_CONSENSUS        -              0.016   18.8   0.2     0.045   17.3   0.2   1.7   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s7993_L_19698_0_a_12_3_l_1896, transcribed RNA sequence
GDEO01041546.1_6     -          OSK_CONSENSUS        -              0.036   17.6   0.1     0.087   16.4   0.0   1.6   2   0   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype s4802_L_8743_0_a_3_8_l_553, transcribed RNA sequence
GDEO01041547.1_6     -          OSK_CONSENSUS        -              0.059   16.9   0.0     0.087   16.4   0.0   1.3   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s4803_L_8743_1_a_4_0_l_553, transcribed RNA sequence
GDEO01044480.1_5     -          OSK_CONSENSUS        -               0.07   16.7   0.0      0.13   15.8   0.0   1.4   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s7450_L_16741_0_a_21_0_l_1756, transcribed RNA sequence
GDEO01043108.1_3     -          OSK_CONSENSUS        -              0.078   16.5   0.0      0.14   15.7   0.0   1.4   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s6211_L_12480_0_a_32_7_l_2056, transcribed RNA sequence
GDEO01041898.1_4     -          OSK_CONSENSUS        -              0.085   16.4   0.1      0.22   15.0   0.0   1.7   2   0   0   2   2   1   0 TSA: Ulopa reticulata breed wildtype s511_L_644_1_a_84_4_l_1444, transcribed RNA sequence
GDEO01012782.1_3     -          OSK_CONSENSUS        -               0.11   16.1   0.1      0.11   16.1   0.1   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C135823_a_11_0_l_278, transcribed RNA sequence
GDEO01043323.1_5     -          OSK_CONSENSUS        -               0.16   15.5   0.1      0.53   13.8   0.0   1.8   2   0   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype s6405_L_13071_1_a_11_7_l_1234, transcribed RNA sequence
GDEO01037102.1_1     -          OSK_CONSENSUS        -               0.17   15.4   0.0      0.42   14.1   0.0   1.7   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s10305_L_44923_0_a_14_4_l_1617, transcribed RNA sequence
GDEO01037482.1_1     -          OSK_CONSENSUS        -               0.17   15.4   0.2      0.19   15.3   0.2   1.0   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s1127_L_1436_1_a_5_0_l_243, transcribed RNA sequence
GDEO01043322.1_5     -          OSK_CONSENSUS        -               0.18   15.4   0.0      0.43   14.1   0.0   1.6   2   0   0   2   2   1   0 TSA: Ulopa reticulata breed wildtype s6404_L_13071_0_a_12_0_l_1120, transcribed RNA sequence
GDEO01042287.1_4     -          OSK_CONSENSUS        -               0.24   15.0   0.0      0.31   14.6   0.0   1.2   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s5471_L_10306_0_a_5_6_l_439, transcribed RNA sequence
GDEO01037481.1_3     -          OSK_CONSENSUS        -               0.29   14.6   0.1      0.34   14.4   0.1   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s1126_L_1436_0_a_4_5_l_242, transcribed RNA sequence
GDEO01024338.1_2     -          OSK_CONSENSUS        -                0.3   14.6   0.6      0.38   14.3   0.6   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C168792_a_13_0_l_455, transcribed RNA sequence
GDEO01020946.1_1     -          OSK_CONSENSUS        -               0.32   14.5   0.7       0.4   14.2   0.7   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C158891_a_4_0_l_383, transcribed RNA sequence
GDEO01039294.1_2     -          OSK_CONSENSUS        -               0.34   14.4   0.1       0.7   13.4   0.0   1.7   1   1   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s2766_L_4072_2_a_34_4_l_560, transcribed RNA sequence
GDEO01020752.1_1     -          OSK_CONSENSUS        -               0.38   14.3   0.2      0.52   13.8   0.2   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C158346_a_7_0_l_380, transcribed RNA sequence
GDEO01023018.1_1     -          OSK_CONSENSUS        -               0.58   13.7   0.1      0.69   13.4   0.1   1.2   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C164993_a_4_0_l_425, transcribed RNA sequence
GDEO01040131.1_2     -          OSK_CONSENSUS        -               0.58   13.7   0.1       1.1   12.8   0.1   1.5   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s3528_L_5619_1_a_5_4_l_1053, transcribed RNA sequence
GDEO01020818.1_2     -          OSK_CONSENSUS        -               0.64   13.5   1.4      0.78   13.3   1.4   1.1   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype C158528_a_4_0_l_381, transcribed RNA sequence
GDEO01040130.1_2     -          OSK_CONSENSUS        -               0.66   13.5   0.1       1.5   12.4   0.1   1.6   1   0   0   1   1   1   0 TSA: Ulopa reticulata breed wildtype s3527_L_5619_0_a_6_6_l_1101, transcribed RNA sequence
GDEO01032346.1_2     -          OSK_CONSENSUS        -                  2   11.9   1.6        15    9.1   0.1   2.1   1   1   1   2   2   2   0 TSA: Ulopa reticulata breed wildtype C191990_a_12_0_l_824, transcribed RNA sequence
GDEO01036794.1_4     -          OSK_CONSENSUS        -                3.4   11.2   8.0       2.3   11.7   5.3   2.2   2   1   0   2   2   2   0 TSA: Ulopa reticulata breed wildtype s10027_L_40713_0_a_15_0_l_1346, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEO01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEO01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEO01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:48:38 2019
# [ok]
