tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,TSA
GDVL00000000.1,741259,Spinotectarchus acornutus,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286457,SAMN04005243,GDVL
GDVJ00000000.1,1661838,Neohirasea fruhstorferi,2506049.0,Lonchodidae,7020,Phasmatodea,PRJNA286411,SAMN04005196,GDVJ
GDVF00000000.1,1603952,Achrioptera fallax,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286331,SAMN04005114,GDVF
GDVD00000000.1,93610,Eurycantha calcarata,55199.0,Phasmatidae,7020,Phasmatodea,PRJNA286372,SAMN04005157,GDVD
GEAD00000000.1,614142,Pseudosermyle phalangiphora,409189.0,Diapheromeridae,7020,Phasmatodea,PRJNA286446,SAMN04005232,GEAD
GDYY00000000.1,58611,Agathemera crassa,523710.0,Agathemeridae,7020,Phasmatodea,PRJNA286334,SAMN04005117,GDYY
GDYR00000000.1,1661803,Antongilia madagassa,55086.0,Bacillidae,7020,Phasmatodea,PRJNA286380,SAMN04005165,GDYR
GDZN00000000.1,590986,Orestes mouhotii,262140.0,Heteropterygidae,7020,Phasmatodea,PRJNA286420,SAMN04005205,GDZN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331412,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331413,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331414,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331415,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331416,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331417,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331418,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331419,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331420,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331421,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331422,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331423,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331424,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331425,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331426,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331427,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331428,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331429,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331430,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331431,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331432,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331433,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331434,GHRN
GHRN00000000.1,33419,Heliconius numata,33415.0,Nymphalidae,7088,Lepidoptera,PRJNA555830,SAMN12331435,GHRN
GHRM00000000.1,104688,Bactrocera oleae,7211.0,Tephritidae,7147,Diptera,PRJNA288990,SAMN03840585,GHRM
GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032278,GHRK
GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032279,GHRK
GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032280,GHRK
GHRK00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032302,GHRK
GGRL00000000.1,53598,Trichogramma chilonis,7489.0,Trichogrammatidae,7399,Hymenoptera,PRJNA412985,SAMN07734740,GGRL
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011958,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011959,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011960,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011961,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011962,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011963,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011964,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011965,GHNK
GHNK00000000.1,499550,Grapholitha molesta,7139.0,Tortricidae,7088,Lepidoptera,PRJNA548236,SAMN12011966,GHNK
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128865,IADH
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128866,IADH
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128867,IADH
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128868,IADH
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128869,IADH
IADH00000000.1,85585,Adoxophyes honmai,7139.0,Tortricidae,7088,Lepidoptera,PRJDB6525,SAMD00128870,IADH
IADS00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJDB7623,SAMD00148853,IADS
IADS00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJDB7623,SAMD00148854,IADS
IADS00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJDB7623,SAMD00148855,IADS
GHOS00000000.1,614134,Peruphasma schultei,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA221630,SAMN02364145,GHOS
GHOS00000000.1,614134,Peruphasma schultei,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA221630,SAMN02364146,GHOS
GHOS00000000.1,614134,Peruphasma schultei,58556.0,Pseudophasmatidae,7020,Phasmatodea,PRJNA221630,SAMN02671262,GHOS
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045884,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045885,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045886,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045887,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045888,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045889,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045890,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045891,GHNP
GHNP00000000.1,141914,Reticulitermes labralis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA548499,SAMN12045892,GHNP
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,SAMD00152162,IAEB
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,SAMD00152163,IAEB
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,SAMD00152164,IAEB
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,SAMD00152165,IAEB
IAEB00000000.1,62960,Nasutitermes takasagoensis,46569.0,Termitidae,85823,Blattodea,PRJDB7701,SAMD00152166,IAEB
GGAG00000000.1,1836603,Amrasca biguttula biguttula,30102.0,Cicadellidae,7524,Hemiptera,PRJNA417995,SAMN08013300,GGAG
GHNJ00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032278,GHNJ
GHNJ00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032279,GHNJ
GHNJ00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032280,GHNJ
GHNJ00000000.1,50390,Diabrotica virgifera virgifera,27439.0,Chrysomelidae,7041,Coleoptera,PRJNA490283,SAMN10032302,GHNJ
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867978,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867979,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867980,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867981,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867982,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867983,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867984,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867985,GHMS
GHMS00000000.1,141915,Reticulitermes aculabialis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA545003,SAMN11867986,GHMS
GHLY00000000.1,115357,Harmonia axyridis,7080.0,Coccinellidae,7041,Coleoptera,PRJNA511760,SAMN10643380,GHLY
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153879,IAEA
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153880,IAEA
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153881,IAEA
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153882,IAEA
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153883,IAEA
IAEA00000000.1,196483,Nipponaphis monzeni,30161.0,Hormaphididae,7524,Hemiptera,PRJDB7750,SAMD00153884,IAEA
GFTR00000000.1,156445,Panstrongylus lignarius,27479.0,Reduviidae,7524,Hemiptera,PRJNA395235,SAMN07374128,GFTR
GFTR00000000.1,156445,Panstrongylus lignarius,27479.0,Reduviidae,7524,Hemiptera,PRJNA395235,SAMN07374129,GFTR
GEMB00000000.1,30076,Triatoma infestans,27479.0,Reduviidae,7524,Hemiptera,PRJNA314811,SAMN04543919,GEMB
GECL00000000.1,72491,Triatoma dimidiata,27479.0,Reduviidae,7524,Hemiptera,PRJNA300554,SAMN04240765,GECL
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618861,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618862,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618863,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618868,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618869,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618873,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618874,GHKJ
GHKJ00000000.1,13249,Rhodnius prolixus,27479.0,Reduviidae,7524,Hemiptera,PRJNA191820,SAMN00618883,GHKJ
GHKV00000000.1,1007316,Gomphocerus sibiricus,7002.0,Acrididae,6993,Orthoptera,PRJNA525981,SAMN11081372,GHKV
GHKU00000000.1,7108,Spodoptera frugiperda,7100.0,Noctuidae,7088,Lepidoptera,PRJNA515785,SAMN10754254,GHKU
GFQQ00000000.1,161014,Thrips tabaci,45053.0,Thripidae,30262,Thysanoptera,PRJNA392363,SAMN07296906,GFQQ
GDPI00000000.1,795051,Elaphrus aureus,41073.0,Carabidae,7041,Coleoptera,PRJNA286520,SAMN03799564,GDPI
GDMH00000000.1,247075,Cicindela hybrida,41073.0,Carabidae,7041,Coleoptera,PRJNA286505,SAMN03799549,GDMH
GDLF00000000.1,287700,Calosoma frigidum,41073.0,Carabidae,7041,Coleoptera,PRJNA286499,SAMN03799544,GDLF
HAMG00000000.1,161253,Galerucella pusilla,27439.0,Chrysomelidae,7041,Coleoptera,PRJEB28202,SAMEA4853205,HAMG
HAMF00000000.1,161252,Galerucella calmariensis,27439.0,Chrysomelidae,7041,Coleoptera,PRJEB28202,SAMEA4853110,HAMF
GHJE00000000.1,115357,Harmonia axyridis,7080.0,Coccinellidae,7041,Coleoptera,PRJNA437351,SAMN08660877,GHJE
GCWI00000000.1,2569394,Enchenopa latipes,30095.0,Membracidae,7524,Hemiptera,PRJNA272226,SAMN03341938,GCWI
GHGZ00000000.1,378752,Achaea janata,7100.0,Noctuidae,7088,Lepidoptera,PRJNA523326,SAMN09241884,GHGZ
GDMW00000000.1,878025,Haliplus fluviatilis,107851.0,Haliplidae,7041,Coleoptera,PRJNA286525,SAMN03799569,GDMW
GDNH00000000.1,1661815,Sinaspidytes wrasei,183863.0,Aspidytidae,7041,Coleoptera,PRJNA286492,SAMN03799537,GDNH
GDLH00000000.1,107796,Cybister lateralimarginalis,50515.0,Dytiscidae,7041,Coleoptera,PRJNA286512,SAMN03799556,GDLH
GDNB00000000.1,1661492,Dineutus sp. AD-2015,107778.0,Gyrinidae,7041,Coleoptera,PRJNA286516,SAMN03799560,GDNB
GDNA00000000.1,110027,Noterus clavicornis,63901.0,Noteridae,7041,Coleoptera,PRJNA286561,SAMN03799605,GDNA
GFUK00000000.1,107881,Hygrobia hermanni,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392382,SAMN07297121,GFUK
GFUI00000000.1,107794,Liopterus haemorrhoidalis,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392045,SAMN07280875,GFUI
GFUO00000000.1,183865,Aspidytes niobe,183863.0,Aspidytidae,7041,Coleoptera,PRJNA391973,SAMN07279561,GFUO
GFUH00000000.1,159779,Amphizoa lecontei,107773.0,Amphizoidae,7041,Coleoptera,PRJNA392306,SAMN07289768,GFUH
GFUJ00000000.1,207415,Batrachomatus nannup,50515.0,Dytiscidae,7041,Coleoptera,PRJNA392058,SAMN07280954,GFUJ
GFUN00000000.1,1048682,Hygrobia nigra,107878.0,Hygrobiidae,7041,Coleoptera,PRJNA392270,SAMN07287246,GFUN
GHFS00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691949,GHFS
GHFP00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691946,GHFP
GHFU00000000.1,444401,Andrena haemorrhoa,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691956,GHFU
GHGA00000000.1,444401,Andrena haemorrhoa,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691952,GHGA
GHFY00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691958,GHFY
GHFZ00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691951,GHFZ
GHFQ00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691947,GHFQ
GHFW00000000.1,465493,Andrena cineraria,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691960,GHFW
GHGB00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691957,GHGB
GHFV00000000.1,65598,Bombus pascuorum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691955,GHFV
GHGD00000000.1,130687,Bombus cryptarum,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691953,GHGD
GHGC00000000.1,1437190,Osmia bicornis,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691954,GHGC
GHFT00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691950,GHFT
GHFR00000000.1,1411667,Andrena fulva,48719.0,Andrenidae,7399,Hymenoptera,PRJNA411946,SAMN07691948,GHFR
GHFO00000000.1,30195,Bombus terrestris,7458.0,Apidae,7399,Hymenoptera,PRJNA411946,SAMN07691945,GHFO
GHFX00000000.1,185587,Osmia cornuta,124286.0,Megachilidae,7399,Hymenoptera,PRJNA411946,SAMN07691959,GHFX
GCGW00000000.1,1572531,Ortholfersia macleayi,81710.0,Hippoboscidae,7147,Diptera,PRJNA267975,SAMN03223137,GCGW
GCNB00000000.1,1572540,Stomorhina subapicalis,1902070.0,Rhiniidae,7147,Diptera,PRJNA267997,SAMN03223160,GCNB
GCGA00000000.1,1572521,Lispe sydneyensis,7366.0,Muscidae,7147,Diptera,PRJNA267956,SAMN03223118,GCGA
GCFN00000000.1,116148,Mesembrina meridiana,7366.0,Muscidae,7147,Diptera,PRJNA267965,SAMN03223127,GCFN
GCFF00000000.1,27454,Calliphora vomitoria,7371.0,Calliphoridae,7147,Diptera,PRJNA267921,SAMN03223083,GCFF
GCGM00000000.1,1321409,Penicillidia dufourii,81707.0,Nycteribiidae,7147,Diptera,PRJNA267980,SAMN03223142,GCGM
GCFC00000000.1,1572552,Eustalomyia vittipes,30062.0,Anthomyiidae,7147,Diptera,PRJNA267942,SAMN03223104,GCFC
GCMA00000000.1,1572554,Euthera bicolor,27474.0,Tachinidae,7147,Diptera,PRJNA267943,SAMN03223105,GCMA
GCLX00000000.1,1572517,Cuterebra austeni,7387.0,Oestridae,7147,Diptera,PRJNA267933,SAMN03223095,GCLX
GHDK00000000.1,109024,Laupala cerasina,6995.0,Gryllidae,6993,Orthoptera,PRJNA509479,SAMN08357529,GHDK
GHDK00000000.1,109024,Laupala cerasina,6995.0,Gryllidae,6993,Orthoptera,PRJNA509479,SAMN08357530,GHDK
GGNH00000000.1,108931,Nilaparvata lugens,33362.0,Delphacidae,7524,Hemiptera,PRJNA360217,SAMN06205216,GGNH
GHEU00000000.1,2490487,Coenosia sp. anthr013,7366.0,Muscidae,7147,Diptera,PRJNA505968,SAMN10434535,GHEU
GHFF00000000.1,2489099,Cordilura sp. cordr014,43756.0,Scathophagidae,7147,Diptera,PRJNA505968,SAMN10434580,GHFF
GHFE00000000.1,2489096,Schoenomyza sp. heca017,7366.0,Muscidae,7147,Diptera,PRJNA505968,SAMN10439713,GHFE
GHEZ00000000.1,307205,Fannia canicularis,27471.0,Fanniidae,7147,Diptera,PRJNA505968,SAMN10434582,GHEZ
GHFA00000000.1,95463,Scathophaga stercoraria,43756.0,Scathophagidae,7147,Diptera,PRJNA505968,SAMN10438024,GHFA
GHEX00000000.1,2489095,Pollenia sp. poln016,7371.0,Calliphoridae,7147,Diptera,PRJNA505968,SAMN10437982,GHEX
GHEY00000000.1,2489098,Gymnoprosopa sp. milt015,7381.0,Sarcophagidae,7147,Diptera,PRJNA505968,SAMN10437878,GHEY
GHEH00000000.1,89055,Thermobia domestica,27551.0,Lepismatidae,30264,Zygentoma,PRJNA492313,SAMN10096876,GHEH
GDYJ00000000.1,1661816,Balta vilis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286346,SAMN04005131,GDYJ
GDXP00000000.1,36981,Shelfordella lateralis,6974.0,Blattidae,85823,Blattodea,PRJNA286452,SAMN04005238,GDXP
GDYD00000000.1,1661484,Tivia sp. AD-2015,30007.0,Corydiidae,85823,Blattodea,PRJNA286468,SAMN04005254,GDYD
GDYE00000000.1,1661525,Ellipsidion sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286365,SAMN04005150,GDYE
GDZF00000000.1,1661876,Eucorydia yasumatsui,30007.0,Corydiidae,85823,Blattodea,PRJNA286371,SAMN04005156,GDZF
GDYK00000000.1,242713,Loboptera decipiens,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286399,SAMN04005184,GDYK
GDVA00000000.1,127387,Reticulitermes santonensis,36985.0,Rhinotermitidae,85823,Blattodea,PRJNA286449,SAMN04005235,GDVA
GDYC00000000.1,1661824,Episymploce sundaica,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286368,SAMN04005153,GDYC
GDZI00000000.1,103000,Paratemnopteryx couloniana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286432,SAMN04005217,GDZI
GDWW00000000.1,1661869,Asiablatta kyotensis,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286658,SAMN04005126,GDWW
GEAA00000000.1,1661865,Anallacta methanoides,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286338,SAMN04005121,GEAA
GDZY00000000.1,1661828,Euthlastoblatta diaphana,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286375,SAMN04005160,GDZY
GDWU00000000.1,83902,Supella longipalpa,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286461,SAMN04005247,GDWU
GDVQ00000000.1,1661856,Therea bernhardti,30007.0,Corydiidae,85823,Blattodea,PRJNA286466,SAMN04005252,GDVQ
GDZE00000000.1,1661477,Nyctibora sp. AD-2015,1049651.0,Ectobiidae,85823,Blattodea,PRJNA286416,SAMN04005201,GDZE
GDYS00000000.1,303877,Eurycotis floridana,6974.0,Blattidae,85823,Blattodea,PRJNA286373,SAMN04005158,GDYS
GDYB00000000.1,1661476,Nocticola sp. AD-2015,85826.0,Nocticolidae,85823,Blattodea,PRJNA286415,SAMN04005200,GDYB
GDZH00000000.1,303918,Deropeltis erythrocephala,6974.0,Blattidae,85823,Blattodea,PRJNA286357,SAMN04005142,GDZH
GDXG00000000.1,1661849,Princisia vanwaerebeki,6979.0,Blaberidae,85823,Blattodea,PRJNA286440,SAMN04005226,GDXG
GDWV00000000.1,1554535,Tryonicus parvus,1560744.0,Tryonicidae,85823,Blattodea,PRJNA286471,SAMN04005257,GDWV
GDWT00000000.1,1661834,Methana parva,6974.0,Blattidae,85823,Blattodea,PRJNA286405,SAMN04005190,GDWT
