,id,species,family_name,order_name,hits,filtered_hits,oskar,prefix_s,project_s,bioproject_s,biosample_ss,contigs_total_length_l,contigs_count_l
37,GHFV00000000.1,Bombus pascuorum,Apidae,Hymenoptera,0,0.0,not found,GHFV01,TSA,PRJNA411946,SAMN07691955,25518737,32019
38,GHGD00000000.1,Bombus cryptarum,Apidae,Hymenoptera,0,0.0,not found,GHGD01,TSA,PRJNA411946,SAMN07691953,28592788,34142
39,GHGC00000000.1,Osmia bicornis,Megachilidae,Hymenoptera,0,0.0,not found,GHGC01,TSA,PRJNA411946,SAMN07691954,26304749,31719
40,GHFT00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,0.0,not found,GHFT01,TSA,PRJNA411946,SAMN07691950,25089390,29777
41,GHFR00000000.1,Andrena fulva,Andrenidae,Hymenoptera,0,0.0,not found,GHFR01,TSA,PRJNA411946,SAMN07691948,28610047,33796
42,GHFO00000000.1,Bombus terrestris,Apidae,Hymenoptera,0,0.0,not found,GHFO01,TSA,PRJNA411946,SAMN07691945,25002029,32396
43,GHFX00000000.1,Osmia cornuta,Megachilidae,Hymenoptera,0,0.0,not found,GHFX01,TSA,PRJNA411946,SAMN07691959,25370441,31562
44,GCGW00000000.1,Ortholfersia macleayi,Hippoboscidae,Diptera,0,0.0,not found,GCGW01,TSA,PRJNA267975,SAMN03223137,49541176,59827
45,GCNB00000000.1,Stomorhina subapicalis,Rhiniidae,Diptera,0,0.0,not found,GCNB01,TSA,PRJNA267997,SAMN03223160,24952110,29906
46,GCGA00000000.1,Lispe sydneyensis,Muscidae,Diptera,1,1.0,found,GCGA01,TSA,PRJNA267956,SAMN03223118,20959516,22893
47,GCFN00000000.1,Mesembrina meridiana,Muscidae,Diptera,2,1.0,found,GCFN01,TSA,PRJNA267965,SAMN03223127,28226720,26090
48,GCFF00000000.1,Calliphora vomitoria,Calliphoridae,Diptera,1,1.0,found,GCFF01,TSA,PRJNA267921,SAMN03223083,22390273,26705
49,GCGM00000000.1,Penicillidia dufourii,Nycteribiidae,Diptera,0,0.0,not found,GCGM01,TSA,PRJNA267980,SAMN03223142,18599913,20120
50,GCFC00000000.1,Eustalomyia vittipes,Anthomyiidae,Diptera,0,0.0,not found,GCFC01,TSA,PRJNA267942,SAMN03223104,9755829,14303
51,GCMA00000000.1,Euthera bicolor,Tachinidae,Diptera,0,0.0,not found,GCMA01,TSA,PRJNA267943,SAMN03223105,12332922,18316
52,GCLX00000000.1,Cuterebra austeni,Oestridae,Diptera,0,0.0,not found,GCLX01,TSA,PRJNA267933,SAMN03223095,7238829,9936
53,GGNH00000000.1,Nilaparvata lugens,Delphacidae,Hemiptera,0,0.0,not found,GGNH01,TSA,PRJNA360217,SAMN06205216,30273085,45255
54,GHEU00000000.1,Coenosia sp. anthr013,Muscidae,Diptera,1,1.0,found,GHEU01,TSA,PRJNA505968,SAMN10434535,12579058,9767
55,GHFF00000000.1,Cordilura sp. cordr014,Scathophagidae,Diptera,1,1.0,found,GHFF01,TSA,PRJNA505968,SAMN10434580,8267261,6648
56,GHFE00000000.1,Schoenomyza sp. heca017,Muscidae,Diptera,1,1.0,found,GHFE01,TSA,PRJNA505968,SAMN10439713,39926675,47506
57,GHEZ00000000.1,Fannia canicularis,Fanniidae,Diptera,0,0.0,not found,GHEZ01,TSA,PRJNA505968,SAMN10434582,17410972,12486
58,GHFA00000000.1,Scathophaga stercoraria,Scathophagidae,Diptera,0,0.0,not found,GHFA01,TSA,PRJNA505968,SAMN10438024,4262076,3912
59,GHEX00000000.1,Pollenia sp. poln016,Calliphoridae,Diptera,0,0.0,not found,GHEX01,TSA,PRJNA505968,SAMN10437982,15870211,11662
60,GHEY00000000.1,Gymnoprosopa sp. milt015,Sarcophagidae,Diptera,0,0.0,not found,GHEY01,TSA,PRJNA505968,SAMN10437878,6902094,5926
61,GHEH00000000.1,Thermobia domestica,Lepismatidae,Zygentoma,0,0.0,not found,GHEH01,TSA,PRJNA492313,SAMN10096876,3887804,4329
62,GDYJ00000000.1,Balta vilis,Ectobiidae,Blattodea,0,0.0,not found,GDYJ01,TSA,PRJNA286346,SAMN04005131,63905897,106781
63,GDXP00000000.1,Shelfordella lateralis,Blattidae,Blattodea,0,0.0,not found,GDXP01,TSA,PRJNA286452,SAMN04005238,56534671,77929
64,GDYD00000000.1,Tivia sp. AD-2015,Corydiidae,Blattodea,0,0.0,not found,GDYD01,TSA,PRJNA286468,SAMN04005254,40300681,85250
65,GDYE00000000.1,Ellipsidion sp. AD-2015,Ectobiidae,Blattodea,1,1.0,found,GDYE01,TSA,PRJNA286365,SAMN04005150,52619727,86312
66,GDZF00000000.1,Eucorydia yasumatsui,Corydiidae,Blattodea,0,0.0,not found,GDZF01,TSA,PRJNA286371,SAMN04005156,45099620,86009
67,GDYK00000000.1,Loboptera decipiens,Ectobiidae,Blattodea,1,1.0,found,GDYK01,TSA,PRJNA286399,SAMN04005184,51218497,72309
68,GDVA00000000.1,Reticulitermes santonensis,Rhinotermitidae,Blattodea,0,0.0,not found,GDVA01,TSA,PRJNA286449,SAMN04005235,39531441,93400
69,GDYC00000000.1,Episymploce sundaica,Ectobiidae,Blattodea,0,0.0,not found,GDYC01,TSA,PRJNA286368,SAMN04005153,40696580,62546
70,GDZI00000000.1,Paratemnopteryx couloniana,Ectobiidae,Blattodea,0,0.0,not found,GDZI01,TSA,PRJNA286432,SAMN04005217,40009594,60329
71,GDWW00000000.1,Asiablatta kyotensis,Ectobiidae,Blattodea,0,0.0,not found,GDWW01,TSA,PRJNA286658,SAMN04005126,36662381,55820
72,GEAA00000000.1,Anallacta methanoides,Ectobiidae,Blattodea,0,0.0,not found,GEAA01,TSA,PRJNA286338,SAMN04005121,20956541,53367
73,GDZY00000000.1,Euthlastoblatta diaphana,Ectobiidae,Blattodea,0,0.0,not found,GDZY01,TSA,PRJNA286375,SAMN04005160,44161294,68287
74,GDWU00000000.1,Supella longipalpa,Ectobiidae,Blattodea,0,0.0,not found,GDWU01,TSA,PRJNA286461,SAMN04005247,54320726,71696
75,GDVQ00000000.1,Therea bernhardti,Corydiidae,Blattodea,0,0.0,not found,GDVQ01,TSA,PRJNA286466,SAMN04005252,33970109,59474
76,GDZE00000000.1,Nyctibora sp. AD-2015,Ectobiidae,Blattodea,0,0.0,not found,GDZE01,TSA,PRJNA286416,SAMN04005201,37585815,76099
77,GDYS00000000.1,Eurycotis floridana,Blattidae,Blattodea,0,0.0,not found,GDYS01,TSA,PRJNA286373,SAMN04005158,31757187,51888
78,GDYB00000000.1,Nocticola sp. AD-2015,Nocticolidae,Blattodea,0,0.0,not found,GDYB01,TSA,PRJNA286415,SAMN04005200,35311011,54628
79,GDZH00000000.1,Deropeltis erythrocephala,Blattidae,Blattodea,0,0.0,not found,GDZH01,TSA,PRJNA286357,SAMN04005142,44521424,62088
80,GDXG00000000.1,Princisia vanwaerebeki,Blaberidae,Blattodea,0,0.0,not found,GDXG01,TSA,PRJNA286440,SAMN04005226,23489476,47876
81,GDWV00000000.1,Tryonicus parvus,Tryonicidae,Blattodea,0,0.0,not found,GDWV01,TSA,PRJNA286471,SAMN04005257,35299475,47656
82,GDWT00000000.1,Methana parva,Blattidae,Blattodea,0,0.0,not found,GDWT01,TSA,PRJNA286405,SAMN04005190,30189279,44482
83,GDWQ00000000.1,Panchlora nivea,Blaberidae,Blattodea,0,0.0,not found,GDWQ01,TSA,PRJNA286426,SAMN04005211,33504217,59816
84,GDZZ00000000.1,Lobopterella dimidiatipes,Ectobiidae,Blattodea,1,1.0,found,GDZZ01,TSA,PRJNA286400,SAMN04005185,24821152,41809
85,GDWJ00000000.1,Polyphaga aegyptiaca,Corydiidae,Blattodea,0,0.0,not found,GDWJ01,TSA,PRJNA286439,SAMN04005225,25768831,58734
86,GDEC00000000.1,Ischnoptera deropeltiformis,Ectobiidae,Blattodea,0,0.0,not found,GDEC01,TSA,PRJNA272190,SAMN03331977,33162492,41873
87,GDYG00000000.1,Diploptera punctata,Blaberidae,Blattodea,0,0.0,not found,GDYG01,TSA,PRJNA286363,SAMN04005148,16791964,27055
88,GDZJ00000000.1,Gyna lurida,Blaberidae,Blattodea,0,0.0,not found,GDZJ01,TSA,PRJNA286383,SAMN04005168,20928874,34402
89,GDZD00000000.1,Cariblatta sp. AD-2015,Ectobiidae,Blattodea,0,0.0,not found,GDZD01,TSA,PRJNA286348,SAMN04005133,25405561,47699
90,GDUO00000000.1,Mantoida sp. AD-2015,Mantoididae,Mantodea,0,0.0,not found,GDUO01,TSA,PRJNA286401,SAMN04005186,12847561,18673
91,GDYP00000000.1,Ectobius sylvestris,Ectobiidae,Blattodea,0,0.0,not found,GDYP01,TSA,PRJNA286364,SAMN04005149,16029431,22546
92,GDUG00000000.1,Coptotermes sp. AD-2015,Rhinotermitidae,Blattodea,0,0.0,not found,GDUG01,TSA,PRJNA286352,SAMN04005137,22217359,31703
93,GGRH00000000.1,Lampronia capitella,Prodoxidae,Lepidoptera,0,0.0,not found,GGRH01,TSA,PRJNA431151,SAMN08384474,61480954,59781
94,GGRG00000000.1,Rhyacophila nubila,Rhyacophilidae,Trichoptera,0,0.0,not found,GGRG01,TSA,PRJNA478813,SAMN09531832,64205108,53028
95,GDCR00000000.1,Blattella germanica,Ectobiidae,Blattodea,0,0.0,not found,GDCR01,TSA,PRJNA273023,SAMN03339326,51258110,101614
96,GDCG00000000.1,Symploce sp. AD-2014,Ectobiidae,Blattodea,0,0.0,not found,GDCG01,TSA,PRJNA273059,SAMN03339362,55719447,70681
97,GDCF00000000.1,Aularches miliaris,Pyrgomorphidae,Orthoptera,0,0.0,not found,GDCF01,TSA,PRJNA273022,SAMN03339325,35356925,77470
98,GDBO00000000.1,Incisitermes marginipennis,Kalotermitidae,Blattodea,0,0.0,not found,GDBO01,TSA,PRJNA273038,SAMN03339341,52180987,78211
99,GDCK00000000.1,Antipaluria urichi,Clothodidae,Embioptera,0,0.0,not found,GDCK01,TSA,PRJNA273020,SAMN03339323,43107242,69281
100,GDCJ00000000.1,Sundablatta sexpunctata,Ectobiidae,Blattodea,1,1.0,found,GDCJ01,TSA,PRJNA273058,SAMN03339361,42788769,61762
101,GCPS00000000.1,Lamproblatta albipalpus,Lamproblattidae,Blattodea,0,0.0,not found,GCPS01,TSA,PRJNA273039,SAMN03339342,46562921,61678
102,GCPR00000000.1,Schultesia lampyridiformis,Blaberidae,Blattodea,1,1.0,found,GCPR01,TSA,PRJNA273055,SAMN03339358,57287326,84688
103,GCPO00000000.1,Popa spurca,Mantidae,Mantodea,0,0.0,not found,GCPO01,TSA,PRJNA273050,SAMN03339353,33155588,59864
104,GDBS00000000.1,Ergaula capucina,Corydiidae,Blattodea,0,0.0,not found,GDBS01,TSA,PRJNA273034,SAMN03339337,53078994,86079
105,GDBT00000000.1,Stagmatoptera biocellata,Mantidae,Mantodea,0,0.0,not found,GDBT01,TSA,PRJNA273057,SAMN03339360,43226610,64235
106,GDBP00000000.1,Protonemura ausonia,Nemouridae,Plecoptera,0,0.0,not found,GDBP01,TSA,PRJNA273052,SAMN03339355,40612918,84123
107,GDCU00000000.1,Hemimerus sp. AD-2014,Hemimeridae,Dermaptera,0,0.0,not found,GDCU01,TSA,PRJNA273036,SAMN03339339,29842289,61303
108,GDCL00000000.1,Brunneria borealis,Mantidae,Mantodea,0,0.0,not found,GDCL01,TSA,PRJNA273025,SAMN03339328,34712975,49658
109,GDCI00000000.1,Nauphoeta cinerea,Blaberidae,Blattodea,0,0.0,not found,GDCI01,TSA,PRJNA273041,SAMN03339344,38576672,55559
110,GDCD00000000.1,Diapherodes gigantea,Phasmatidae,Phasmatodea,0,0.0,not found,GDCD01,TSA,PRJNA273031,SAMN03339334,37401495,63166
111,GDCE00000000.1,Agamemnon cornutus,Pseudophasmatidae,Phasmatodea,0,0.0,not found,GDCE01,TSA,PRJNA273019,SAMN03339322,31974511,57876
112,GDCB00000000.1,Proreus simulans,Chelisochidae,Dermaptera,0,0.0,not found,GDCB01,TSA,PRJNA273051,SAMN03339354,13635141,26082
113,GDBY00000000.1,Ptilocerembia catherinae,Ptilocerembiidae,Embioptera,0,0.0,not found,GDBY01,TSA,PRJNA273053,SAMN03339356,31825587,46847
114,GCPK00000000.1,Hymenopus coronatus,Hymenopodidae,Mantodea,0,0.0,not found,GCPK01,TSA,PRJNA273037,SAMN03339340,40078203,62660
115,GCPJ00000000.1,Xya variegata,Tridactylidae,Orthoptera,0,0.0,not found,GCPJ01,TSA,PRJNA273062,SAMN03339365,37657941,55795
116,GCPH00000000.1,Tirachoidea westwoodii,Phasmatidae,Phasmatodea,0,0.0,not found,GCPH01,TSA,PRJNA273047,SAMN03339350,37712625,57254
117,GCPF00000000.1,Cheddikulama straminea,Toxoderidae,Mantodea,0,0.0,not found,GCPF01,TSA,PRJNA273027,SAMN03339330,39981584,52525
118,GDBR00000000.1,Phaeophilacris bredoides,Phalangopsidae,Orthoptera,0,0.0,not found,GDBR01,TSA,PRJNA273046,SAMN03339349,37955695,51208
119,GDBN00000000.1,Brachyptera vera,Taeniopterygidae,Plecoptera,0,0.0,not found,GDBN01,TSA,PRJNA273024,SAMN03339327,30483958,55568
120,GCPE00000000.1,Nippancistroger testaceus,Gryllacrididae,Orthoptera,0,0.0,not found,GCPE01,TSA,PRJNA273043,SAMN03339346,41518951,60382
121,GDCH00000000.1,Phyllocrania paradoxa,Hymenopodidae,Mantodea,0,0.0,not found,GDCH01,TSA,PRJNA273049,SAMN03339352,42036390,49404
122,GCPQ00000000.1,Acontista multicolor,Acanthopidae,Mantodea,0,0.0,not found,GCPQ01,TSA,PRJNA273018,SAMN03339321,37720717,38717
123,GCPP00000000.1,Orthomeria sp. AD-2014,Aschiphasmatidae,Phasmatodea,0,0.0,not found,GCPP01,TSA,PRJNA273045,SAMN03339348,24392343,34777
124,GDCT00000000.1,Creoxylus spinosus,Pseudophasmatidae,Phasmatodea,0,0.0,not found,GDCT01,TSA,PRJNA273030,SAMN03339333,30245959,42799
125,GDCA00000000.1,Catara rugosicollis,Blattidae,Blattodea,0,0.0,not found,GDCA01,TSA,PRJNA273026,SAMN03339329,28703656,39319
126,GDBZ00000000.1,Apteroperla tikumana,Capniidae,Plecoptera,2,2.0,found,GDBZ01,TSA,PRJNA273021,SAMN03339324,27168083,27540
127,GDCS00000000.1,Diplatys sp. AD-2014,Diplatyidae,Dermaptera,0,0.0,not found,GDCS01,TSA,PRJNA273033,SAMN03339336,20781719,38383
128,GCPN00000000.1,Orthodera novaezealandiae,Mantidae,Mantodea,0,0.0,not found,GCPN01,TSA,PRJNA273044,SAMN03339347,26758461,43226
129,GCPL00000000.1,Creobroter pictipennis,Hymenopodidae,Mantodea,0,0.0,not found,GCPL01,TSA,PRJNA273029,SAMN03339332,24459701,40323
130,GCPM00000000.1,Phyllium philippinicum,Phylliidae,Phasmatodea,0,0.0,not found,GCPM01,TSA,PRJNA273048,SAMN03339351,30155674,40558
131,GDBX00000000.1,Rhagadochir virgo,Scelembiidae,Embioptera,0,0.0,not found,GDBX01,TSA,PRJNA273054,SAMN03339357,41260557,51747
132,GCPI00000000.1,Gonolabis marginalis,Anisolabididae,Dermaptera,0,0.0,not found,GCPI01,TSA,PRJNA273035,SAMN03339338,22340058,31632
133,GDBW00000000.1,Tropidacris collaris,Romaleidae,Orthoptera,0,0.0,not found,GDBW01,TSA,PRJNA273061,SAMN03339364,33076955,49357
134,GDBV00000000.1,Mantophasma sp. AD-2014,Mantophasmatidae,Mantophasmatodea,0,0.0,not found,GDBV01,TSA,PRJNA273040,SAMN03339343,26585826,37175
135,GDBU00000000.1,Trachyaretaon brueckneri,Heteropterygidae,Phasmatodea,0,0.0,not found,GDBU01,TSA,PRJNA273060,SAMN03339363,30129295,34923
136,GCPG00000000.1,Diestrammena asynamora,Rhaphidophoridae,Orthoptera,0,0.0,not found,GCPG01,TSA,PRJNA273032,SAMN03339335,31969460,40388
137,GDCC00000000.1,Sipyloidea biplagiata,Lonchodidae,Phasmatodea,0,0.0,not found,GDCC01,TSA,PRJNA273056,SAMN03339359,16967991,33512
138,GDCQ00000000.1,Nemoura sp. AD-2014,Nemouridae,Plecoptera,0,0.0,not found,GDCQ01,TSA,PRJNA273042,SAMN03339345,14755207,25262
139,GGPJ00000000.1,Nezara viridula,Pentatomidae,Hemiptera,0,0.0,not found,GGPJ01,TSA,PRJNA472074,SAMN09225366,192337961,296877
140,GFRL00000000.1,Phyllomimus sinicus,Tettigoniidae,Orthoptera,0,0.0,not found,GFRL01,TSA,PRJNA390923,SAMN07259747,46965064,51301
141,GGIT00000000.1,Phenacoccus solenopsis,Pseudococcidae,Hemiptera,0,0.0,not found,GGIT01,TSA,PRJNA436774,SAMN08631968,20673239,23621
142,GFUV00000000.1,Anticarsia gemmatalis,Noctuidae,Lepidoptera,0,0.0,not found,GFUV01,TSA,PRJNA308354,SAMN04394587,4350889,7502
143,GGBU00000000.1,Adelphocoris suturalis,Miridae,Hemiptera,0,0.0,not found,GGBU01,TSA,PRJNA418395,"SAMN08026812,SAMN08026817,SAMN08026818",120970259,133667
144,GGBQ00000000.1,Adelphocoris lineolatus,Miridae,Hemiptera,0,0.0,not found,GGBQ01,TSA,PRJNA418395,SAMN08026811,132280884,104131
145,GGBO00000000.1,Adelphocoris fasciaticollis,Miridae,Hemiptera,0,0.0,not found,GGBO01,TSA,PRJNA418395,SAMN08026780,79347388,58473
146,GCXO00000000.1,Ladella sp. AD-2014,Tropiduchidae,Hemiptera,0,0.0,not found,GCXO01,TSA,PRJNA272255,SAMN03341969,56403614,95782
147,GCYA00000000.1,Limnoporus canaliculatus,Gerridae,Hemiptera,0,0.0,not found,GCYA01,TSA,PRJNA272257,SAMN03341972,57721725,97767
148,GCZE00000000.1,Melanoliarus placitus,Cixiidae,Hemiptera,0,0.0,not found,GCZE01,TSA,PRJNA272269,SAMN03341980,65922569,84053
149,GCZJ00000000.1,Unaspis euonymi,Diaspididae,Hemiptera,0,0.0,not found,GCZJ01,TSA,PRJNA272300,SAMN03342014,54887968,59207
150,GCWP00000000.1,Dalbulus maidis,Cicadellidae,Hemiptera,0,0.0,not found,GCWP01,TSA,PRJNA272239,SAMN03341953,28305469,25662
151,GCYZ00000000.1,Trichocorixa calva,Corixidae,Hemiptera,0,0.0,not found,GCYZ01,TSA,PRJNA272296,SAMN03342010,37866798,47451
152,GCYF00000000.1,Nessorhinus gibberulus,Membracidae,Hemiptera,0,0.0,not found,GCYF01,TSA,PRJNA272268,SAMN03341984,26821667,39721
153,GCXV00000000.1,Megacopta cribraria,Plataspidae,Hemiptera,0,0.0,not found,GCXV01,TSA,PRJNA272264,SAMN03341979,23186814,26135
154,GCWX00000000.1,Llanquihuea pilosa,Melizoderidae,Hemiptera,0,0.0,not found,GCWX01,TSA,PRJNA272258,SAMN03341973,37598185,46560
155,GCWR00000000.1,Acrosternum hilare,Pentatomidae,Hemiptera,0,0.0,not found,GCWR01,TSA,PRJNA272230,SAMN03341943,40045896,50698
156,GCWG00000000.1,Anasa tristis,Coreidae,Hemiptera,0,0.0,not found,GCWG01,TSA,PRJNA272215,SAMN03341928,41737148,58227
157,GCWK00000000.1,Belostoma flumineum,Belostomatidae,Hemiptera,0,0.0,not found,GCWK01,TSA,PRJNA272220,SAMN03341933,31958003,34422
158,GCWT00000000.1,Agallia constricta,Cicadellidae,Hemiptera,0,0.0,not found,GCWT01,TSA,PRJNA272213,SAMN03341926,43799808,58380
159,GCZD00000000.1,Vidanoana flavomaculata,Cicadellidae,Hemiptera,0,0.0,not found,GCZD01,TSA,PRJNA272302,SAMN03342016,45681665,56498
160,GCWZ00000000.1,Ceroplastes cirripediformis,Coccidae,Hemiptera,0,0.0,not found,GCWZ01,TSA,PRJNA272228,SAMN03341940,39278582,37274
161,GCYX00000000.1,Trioza urticae,Triozidae,Hemiptera,0,0.0,not found,GCYX01,TSA,PRJNA272298,SAMN03342012,41034766,57345
162,GCZC00000000.1,Uroleucon ambrosiae,Aphididae,Hemiptera,0,0.0,not found,GCZC01,TSA,PRJNA272301,SAMN03342015,42211539,35534
163,GCYY00000000.1,Tuberolachnus salignus,Lachnidae,Hemiptera,0,0.0,not found,GCYY01,TSA,PRJNA272299,SAMN03342013,42294348,39759
164,GCWY00000000.1,Echmepteryx hageni,Lepidopsocidae,Psocoptera,1,1.0,found,GCWY01,TSA,PRJNA272240,SAMN03341954,26911408,21638
165,GCZM00000000.1,Cycadothrips chadwicki,Aeolothripidae,Thysanoptera,1,1.0,found,GCZM01,TSA,PRJNA272236,SAMN03341950,13337924,18196
166,GCZG00000000.1,Peloridium pomponorum,Peloridiidae,Hemiptera,0,0.0,not found,GCZG01,TSA,PRJNA272276,SAMN03341991,57726145,62705
167,GCZA00000000.1,Philaenus spumarius,Aphrophoridae,Hemiptera,0,0.0,not found,GCZA01,TSA,PRJNA272277,SAMN03341992,65543966,89002
168,GCZF00000000.1,Ponana quadralaba,Cicadellidae,Hemiptera,0,0.0,not found,GCZF01,TSA,PRJNA272282,SAMN03341997,64045803,80761
169,GCYC00000000.1,Pachypsylla celtidismamma,Aphalaridae,Hemiptera,0,0.0,not found,GCYC01,TSA,PRJNA272274,SAMN03341989,61715315,84238
170,GCXN00000000.1,Mapuchea sp. AD-2014,Myerslopiidae,Hemiptera,0,0.0,not found,GCXN01,TSA,PRJNA272263,SAMN03341978,58929596,70479
171,GCXR00000000.1,Largus californicus,Largidae,Hemiptera,0,0.0,not found,GCXR01,TSA,PRJNA272803,SAMN03341971,57081533,70145
172,GCXS00000000.1,Mesovelia mulsanti,Mesoveliidae,Hemiptera,0,0.0,not found,GCXS01,TSA,PRJNA272265,SAMN03341981,51536645,79927
