#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HAFG01070794.1_2     -          OSK_CONSENSUS        -            0.00054   25.7   0.2    0.0011   24.6   0.0   1.5   2   0   0   2   2   1   1 TSA: Proasellus parvulus, contig comp85412_c0_seq1, transcribed RNA sequence
HAFG01215577.1_6     -          OSK_CONSENSUS        -                2.8   13.6   0.0         3   13.5   0.0   1.1   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp2665874_c0_seq1, transcribed RNA sequence
HAFG01177319.1_3     -          OSK_CONSENSUS        -                3.3   13.4   0.4       3.7   13.2   0.4   1.2   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp756799_c0_seq1, transcribed RNA sequence
HAFG01062558.1_2     -          OSK_CONSENSUS        -                3.3   13.4   0.1       3.7   13.2   0.1   1.1   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp82526_c1_seq1, transcribed RNA sequence
HAFG01181919.1_4     -          OSK_CONSENSUS        -                3.7   13.2   0.2       3.7   13.2   0.2   1.0   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp798297_c0_seq1, transcribed RNA sequence
HAFG01072987.1_2     -          OSK_CONSENSUS        -                4.6   12.9   0.1       6.4   12.4   0.1   1.3   1   1   0   1   1   1   0 TSA: Proasellus parvulus, contig comp86011_c0_seq2, transcribed RNA sequence
HAFG01098252.1_4     -          OSK_CONSENSUS        -                5.1   12.8   0.1       9.5   11.9   0.1   1.4   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp89638_c0_seq2, transcribed RNA sequence
HAFG01102517.1_4     -          OSK_CONSENSUS        -                9.4   11.9   0.0       9.8   11.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Proasellus parvulus, contig comp89895_c1_seq6, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAFG.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/HAFG.1_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_HAFG.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 13:00:22 2019
# [ok]
