id,species,family_name,order_name,hits,source,filtered_hits
GDYK00000000.1,Loboptera decipiens,Ectobiidae,Blattodea,1,TSA,1.0
GDVA00000000.1,Reticulitermes santonensis,Rhinotermitidae,Blattodea,0,TSA,0.0
GDYC00000000.1,Episymploce sundaica,Ectobiidae,Blattodea,0,TSA,0.0
GDZI00000000.1,Paratemnopteryx couloniana,Ectobiidae,Blattodea,0,TSA,0.0
GDWW00000000.1,Asiablatta kyotensis,Ectobiidae,Blattodea,0,TSA,0.0
GEAA00000000.1,Anallacta methanoides,Ectobiidae,Blattodea,0,TSA,0.0
GDZY00000000.1,Euthlastoblatta diaphana,Ectobiidae,Blattodea,0,TSA,0.0
GDWU00000000.1,Supella longipalpa,Ectobiidae,Blattodea,0,TSA,0.0
GDVQ00000000.1,Therea bernhardti,Corydiidae,Blattodea,0,TSA,0.0
GDZE00000000.1,Nyctibora sp. AD-2015,Ectobiidae,Blattodea,0,TSA,0.0
GDYS00000000.1,Eurycotis floridana,Blattidae,Blattodea,0,TSA,0.0
GDYB00000000.1,Nocticola sp. AD-2015,Nocticolidae,Blattodea,0,TSA,0.0
GDZH00000000.1,Deropeltis erythrocephala,Blattidae,Blattodea,0,TSA,0.0
GDXG00000000.1,Princisia vanwaerebeki,Blaberidae,Blattodea,0,TSA,0.0
GDWV00000000.1,Tryonicus parvus,Tryonicidae,Blattodea,0,TSA,0.0
GDWT00000000.1,Methana parva,Blattidae,Blattodea,0,TSA,0.0
GDWQ00000000.1,Panchlora nivea,Blaberidae,Blattodea,0,TSA,0.0
GDZZ00000000.1,Lobopterella dimidiatipes,Ectobiidae,Blattodea,1,TSA,1.0
GDWJ00000000.1,Polyphaga aegyptiaca,Corydiidae,Blattodea,0,TSA,0.0
GDEC00000000.1,Ischnoptera deropeltiformis,Ectobiidae,Blattodea,0,TSA,0.0
GDYG00000000.1,Diploptera punctata,Blaberidae,Blattodea,0,TSA,0.0
GDZJ00000000.1,Gyna lurida,Blaberidae,Blattodea,0,TSA,0.0
GDZD00000000.1,Cariblatta sp. AD-2015,Ectobiidae,Blattodea,0,TSA,0.0
GDUO00000000.1,Mantoida sp. AD-2015,Mantoididae,Mantodea,0,TSA,0.0
GDYP00000000.1,Ectobius sylvestris,Ectobiidae,Blattodea,0,TSA,0.0
GDUG00000000.1,Coptotermes sp. AD-2015,Rhinotermitidae,Blattodea,0,TSA,0.0
GGRH00000000.1,Lampronia capitella,Prodoxidae,Lepidoptera,0,TSA,0.0
GGRG00000000.1,Rhyacophila nubila,Rhyacophilidae,Trichoptera,0,TSA,0.0
GDCR00000000.1,Blattella germanica,Ectobiidae,Blattodea,0,TSA,0.0
GDCG00000000.1,Symploce sp. AD-2014,Ectobiidae,Blattodea,0,TSA,0.0
GDCF00000000.1,Aularches miliaris,Pyrgomorphidae,Orthoptera,0,TSA,0.0
GDBO00000000.1,Incisitermes marginipennis,Kalotermitidae,Blattodea,0,TSA,0.0
GDCK00000000.1,Antipaluria urichi,Clothodidae,Embioptera,0,TSA,0.0
GDCJ00000000.1,Sundablatta sexpunctata,Ectobiidae,Blattodea,1,TSA,1.0
GCPS00000000.1,Lamproblatta albipalpus,Lamproblattidae,Blattodea,0,TSA,0.0
GCPR00000000.1,Schultesia lampyridiformis,Blaberidae,Blattodea,1,TSA,1.0
GCPO00000000.1,Popa spurca,Mantidae,Mantodea,0,TSA,0.0
GDBS00000000.1,Ergaula capucina,Corydiidae,Blattodea,0,TSA,0.0
GDBT00000000.1,Stagmatoptera biocellata,Mantidae,Mantodea,0,TSA,0.0
GDBP00000000.1,Protonemura ausonia,Nemouridae,Plecoptera,0,TSA,0.0
GDCU00000000.1,Hemimerus sp. AD-2014,Hemimeridae,Dermaptera,0,TSA,0.0
GDCL00000000.1,Brunneria borealis,Mantidae,Mantodea,0,TSA,0.0
GDCI00000000.1,Nauphoeta cinerea,Blaberidae,Blattodea,0,TSA,0.0
GDCD00000000.1,Diapherodes gigantea,Phasmatidae,Phasmatodea,0,TSA,0.0
GDCE00000000.1,Agamemnon cornutus,Pseudophasmatidae,Phasmatodea,0,TSA,0.0
GDCB00000000.1,Proreus simulans,Chelisochidae,Dermaptera,0,TSA,0.0
GDBY00000000.1,Ptilocerembia catherinae,Ptilocerembiidae,Embioptera,0,TSA,0.0
GCPK00000000.1,Hymenopus coronatus,Hymenopodidae,Mantodea,0,TSA,0.0
GCPJ00000000.1,Xya variegata,Tridactylidae,Orthoptera,0,TSA,0.0
GCPH00000000.1,Tirachoidea westwoodii,Phasmatidae,Phasmatodea,0,TSA,0.0
GCPF00000000.1,Cheddikulama straminea,Toxoderidae,Mantodea,0,TSA,0.0
GDBR00000000.1,Phaeophilacris bredoides,Phalangopsidae,Orthoptera,0,TSA,0.0
GDBN00000000.1,Brachyptera vera,Taeniopterygidae,Plecoptera,0,TSA,0.0
GCPE00000000.1,Nippancistroger testaceus,Gryllacrididae,Orthoptera,0,TSA,0.0
GDCH00000000.1,Phyllocrania paradoxa,Hymenopodidae,Mantodea,0,TSA,0.0
GCPQ00000000.1,Acontista multicolor,Acanthopidae,Mantodea,0,TSA,0.0
GCPP00000000.1,Orthomeria sp. AD-2014,Aschiphasmatidae,Phasmatodea,0,TSA,0.0
GDCT00000000.1,Creoxylus spinosus,Pseudophasmatidae,Phasmatodea,0,TSA,0.0
GDCA00000000.1,Catara rugosicollis,Blattidae,Blattodea,0,TSA,0.0
GDBZ00000000.1,Apteroperla tikumana,Capniidae,Plecoptera,2,TSA,2.0
GDCS00000000.1,Diplatys sp. AD-2014,Diplatyidae,Dermaptera,0,TSA,0.0
GCPN00000000.1,Orthodera novaezealandiae,Mantidae,Mantodea,0,TSA,0.0
GCPL00000000.1,Creobroter pictipennis,Hymenopodidae,Mantodea,0,TSA,0.0
GCPM00000000.1,Phyllium philippinicum,Phylliidae,Phasmatodea,0,TSA,0.0
GDBX00000000.1,Rhagadochir virgo,Scelembiidae,Embioptera,0,TSA,0.0
GCPI00000000.1,Gonolabis marginalis,Anisolabididae,Dermaptera,0,TSA,0.0
GDBW00000000.1,Tropidacris collaris,Romaleidae,Orthoptera,0,TSA,0.0
GDBV00000000.1,Mantophasma sp. AD-2014,Mantophasmatidae,Mantophasmatodea,0,TSA,0.0
GDBU00000000.1,Trachyaretaon brueckneri,Heteropterygidae,Phasmatodea,0,TSA,0.0
GCPG00000000.1,Diestrammena asynamora,Rhaphidophoridae,Orthoptera,0,TSA,0.0
GDCC00000000.1,Sipyloidea biplagiata,Lonchodidae,Phasmatodea,0,TSA,0.0
GDCQ00000000.1,Nemoura sp. AD-2014,Nemouridae,Plecoptera,0,TSA,0.0
GGPJ00000000.1,Nezara viridula,Pentatomidae,Hemiptera,0,TSA,0.0
GFRL00000000.1,Phyllomimus sinicus,Tettigoniidae,Orthoptera,0,TSA,0.0
GGIT00000000.1,Phenacoccus solenopsis,Pseudococcidae,Hemiptera,0,TSA,0.0
GFUV00000000.1,Anticarsia gemmatalis,Noctuidae,Lepidoptera,0,TSA,0.0
GGBU00000000.1,Adelphocoris suturalis,Miridae,Hemiptera,0,TSA,0.0
GGBQ00000000.1,Adelphocoris lineolatus,Miridae,Hemiptera,0,TSA,0.0
GGBO00000000.1,Adelphocoris fasciaticollis,Miridae,Hemiptera,0,TSA,0.0
GCXO00000000.1,Ladella sp. AD-2014,Tropiduchidae,Hemiptera,0,TSA,0.0
GCYA00000000.1,Limnoporus canaliculatus,Gerridae,Hemiptera,0,TSA,0.0
GCZE00000000.1,Melanoliarus placitus,Cixiidae,Hemiptera,0,TSA,0.0
GCZJ00000000.1,Unaspis euonymi,Diaspididae,Hemiptera,0,TSA,0.0
GCWP00000000.1,Dalbulus maidis,Cicadellidae,Hemiptera,0,TSA,0.0
GCYZ00000000.1,Trichocorixa calva,Corixidae,Hemiptera,0,TSA,0.0
GCYF00000000.1,Nessorhinus gibberulus,Membracidae,Hemiptera,0,TSA,0.0
GCXV00000000.1,Megacopta cribraria,Plataspidae,Hemiptera,0,TSA,0.0
GCWX00000000.1,Llanquihuea pilosa,Melizoderidae,Hemiptera,0,TSA,0.0
GCWR00000000.1,Acrosternum hilare,Pentatomidae,Hemiptera,0,TSA,0.0
GCWG00000000.1,Anasa tristis,Coreidae,Hemiptera,0,TSA,0.0
GCWK00000000.1,Belostoma flumineum,Belostomatidae,Hemiptera,0,TSA,0.0
GCWT00000000.1,Agallia constricta,Cicadellidae,Hemiptera,0,TSA,0.0
GCZD00000000.1,Vidanoana flavomaculata,Cicadellidae,Hemiptera,0,TSA,0.0
GCWZ00000000.1,Ceroplastes cirripediformis,Coccidae,Hemiptera,0,TSA,0.0
GCYX00000000.1,Trioza urticae,Triozidae,Hemiptera,0,TSA,0.0
GCZC00000000.1,Uroleucon ambrosiae,Aphididae,Hemiptera,0,TSA,0.0
GCYY00000000.1,Tuberolachnus salignus,Lachnidae,Hemiptera,0,TSA,0.0
GCWY00000000.1,Echmepteryx hageni,Lepidopsocidae,Psocoptera,1,TSA,1.0
GCZM00000000.1,Cycadothrips chadwicki,Aeolothripidae,Thysanoptera,1,TSA,1.0
GCZG00000000.1,Peloridium pomponorum,Peloridiidae,Hemiptera,0,TSA,0.0
GCZA00000000.1,Philaenus spumarius,Aphrophoridae,Hemiptera,0,TSA,0.0
GCZF00000000.1,Ponana quadralaba,Cicadellidae,Hemiptera,0,TSA,0.0
GCYC00000000.1,Pachypsylla celtidismamma,Aphalaridae,Hemiptera,0,TSA,0.0
GCXN00000000.1,Mapuchea sp. AD-2014,Myerslopiidae,Hemiptera,0,TSA,0.0
GCXR00000000.1,Largus californicus,Largidae,Hemiptera,0,TSA,0.0
GCXS00000000.1,Mesovelia mulsanti,Mesoveliidae,Hemiptera,0,TSA,0.0
GCXX00000000.1,Largus californicus,Largidae,Hemiptera,0,TSA,0.0
GCXL00000000.1,Jalysus sp. AD-2014,Berytidae,Hemiptera,0,TSA,0.0
GCWF00000000.1,Bruchomorpha oculata,None,Hemiptera,0,TSA,0.0
GCXC00000000.1,Acanalonia conica,Acanaloniidae,Hemiptera,0,TSA,0.0
GCWV00000000.1,Dactylopius confusus,Dactylopiidae,Hemiptera,0,TSA,0.0
GCYT00000000.1,Trionymus caricis,Pseudococcidae,Hemiptera,0,TSA,0.0
GCYS00000000.1,Chalcocoris rutilans,Pentatomidae,Hemiptera,0,TSA,0.0
GCYP00000000.1,Rhagovelia obesa,Veliidae,Hemiptera,0,TSA,0.0
GCZK00000000.1,Stictocephala bisonia,Membracidae,Hemiptera,0,TSA,0.0
GCYW00000000.1,Psyllopsis fraxinicola,Liviidae,Hemiptera,0,TSA,0.0
GCZB00000000.1,Sehirus cinctus,Cydnidae,Hemiptera,0,TSA,0.0
GCYR00000000.1,Frankliniella occidentalis,Thripidae,Thysanoptera,0,TSA,0.0
GCYN00000000.1,Anoplogonius nigricollis,Scutelleridae,Hemiptera,0,TSA,0.0
GCYK00000000.1,Reuteroscopus ornatus,Miridae,Hemiptera,0,TSA,0.0
GCYE00000000.1,Scutelleridae sp. AD-2014,Scutelleridae,Hemiptera,0,TSA,0.0
GCZI00000000.1,Schizaphis graminum,Aphididae,Hemiptera,0,TSA,0.0
GCZH00000000.1,Prociphilus tessellatus,Pemphigidae,Hemiptera,0,TSA,0.0
GCYJ00000000.1,Prosapia bicincta,Cercopidae,Hemiptera,0,TSA,0.0
GCYD00000000.1,Ptycta johnsoni,Psocidae,Psocoptera,0,TSA,0.0
GCYQ00000000.1,Phlaeothripidae sp. AD-2014,Phlaeothripidae,Thysanoptera,1,TSA,1.0
GCYI00000000.1,Phymata pennsylvanica,Phymatidae,Hemiptera,0,TSA,0.0
GCYH00000000.1,Phylloscelis atra,Dictyopharidae,Hemiptera,0,TSA,0.0
GCXZ00000000.1,Idiosystatus acutiusculus,Delphacidae,Hemiptera,0,TSA,0.0
GCYM00000000.1,Mezira granulata,Aradidae,Hemiptera,0,TSA,0.0
GCXU00000000.1,Pagasa sp. AD-2014,Nabidae,Hemiptera,0,TSA,0.0
GCXT00000000.1,Orothrips kelloggi,Aeolothripidae,Thysanoptera,1,TSA,1.0
GCYL00000000.1,Orius insidiosus,Anthocoridae,Hemiptera,0,TSA,0.0
GCVW00000000.1,Nabicula subcoleoptrata,Nabidae,Hemiptera,0,TSA,0.0
GCXY00000000.1,Oncopeltus fasciatus,Lygaeidae,Hemiptera,0,TSA,0.0
GCXQ00000000.1,Macrohomotoma gladiata,Homotomidae,Hemiptera,0,TSA,0.0
GCYB00000000.1,Lygaeus turcicus,Lygaeidae,Hemiptera,0,TSA,0.0
GCXM00000000.1,Lygus lineolaris,Miridae,Hemiptera,0,TSA,0.0
GCXK00000000.1,Chauliops fallax,Malcidae,Hemiptera,0,TSA,0.0
GCXH00000000.1,Ischnodemus falicus,Blissidae,Hemiptera,0,TSA,0.0
GCXF00000000.1,Lopidea amorphae,Miridae,Hemiptera,0,TSA,0.0
GCXW00000000.1,Holdgatiella chepuensis,Membracidae,Hemiptera,0,TSA,0.0
GCXB00000000.1,Heteropsylla cubana,Psyllidae,Hemiptera,0,TSA,0.0
GCYG00000000.1,Chondrodire chilensis,Dictyopharidae,Hemiptera,0,TSA,0.0
GCXI00000000.1,Gelastocoris oculatus,Gelastocoridae,Hemiptera,0,TSA,0.0
GCXG00000000.1,Hespenedra chilensis,Cicadellidae,Hemiptera,0,TSA,0.0
GCWJ00000000.1,Lachesilla contraforcepeta,Lachesillidae,Psocoptera,0,TSA,0.0
GCWM00000000.1,Geocoris sp. AD-2014,Lygaeidae,Hemiptera,0,TSA,0.0
GCXD00000000.1,Geomydoecus ewingi,Trichodectidae,Phthiraptera,0,TSA,0.0
GCWH00000000.1,Hoplitocoris sp. AD-2014,Enicocephalidae,Hemiptera,0,TSA,0.0
GCVV00000000.1,Empoasca fabae,Cicadellidae,Hemiptera,0,TSA,0.0
GCWL00000000.1,Piezosternum calidum,Tessaratomidae,Hemiptera,0,TSA,0.0
GCWN00000000.1,Craspedorrhynchus sp. AD-2014,Philopteridae,Phthiraptera,0,TSA,0.0
GCXA00000000.1,Corimelaena lateralis,Thyreocoridae,Hemiptera,0,TSA,0.0
GCWQ00000000.1,Cyrpoptus belfragei,Fulgoridae,Hemiptera,0,TSA,0.0
GCWW00000000.1,Coccus sp. AD-2014,Coccidae,Hemiptera,0,TSA,0.0
GCWD00000000.1,Campanulotes compar,Philopteridae,Phthiraptera,0,TSA,0.0
GCWC00000000.1,Boisea trivittata,Rhopalidae,Hemiptera,0,TSA,0.0
GCWB00000000.1,Columbicola columbae,Philopteridae,Phthiraptera,0,TSA,0.0
GCVU00000000.1,Chrysomphalus aonidum,Diaspididae,Hemiptera,0,TSA,0.0
GCWS00000000.1,Ceratocombus sp. AD-2014,Ceratocombidae,Hemiptera,0,TSA,0.0
GCXE00000000.1,Buenoa margaritacea,Notonectidae,Hemiptera,0,TSA,0.0
GCWE00000000.1,Arilus cristatus,Reduviidae,Hemiptera,0,TSA,0.0
GCWA00000000.1,Aphelonotus fraterculus,Pachynomidae,Hemiptera,0,TSA,0.0
GCWO00000000.1,Aphalara polygoni,Aphalaridae,Hemiptera,0,TSA,0.0
GCVZ00000000.1,Alydus pilosus,Alydidae,Hemiptera,0,TSA,0.0
GCXJ00000000.1,Acutaspis umbonifera,Diaspididae,Hemiptera,0,TSA,0.0
GCWU00000000.1,Aclerda sp. AD-2014,Aclerdidae,Hemiptera,0,TSA,0.0
GDEM00000000.1,Xenophyes metoponcus,Peloridiidae,Hemiptera,0,TSA,0.0
GDFP00000000.1,Glycaspis brimblecombei,Aphalaridae,Hemiptera,0,TSA,0.0
GDFL00000000.1,Elipsocus kuriliensis,Elipsocidae,Psocoptera,0,TSA,0.0
GDFN00000000.1,Diaphorina citri,Liviidae,Hemiptera,0,TSA,0.0
GDFO00000000.1,Aquarius paludum,Gerridae,Hemiptera,0,TSA,0.0
GDFC00000000.1,Neoblaste papillosa,Psocidae,Psocoptera,0,TSA,0.0
GDFI00000000.1,Pyrrhocoris apterus,Pyrrhocoridae,Hemiptera,0,TSA,0.0
GDFA00000000.1,Metatropis rufescens,Berytidae,Hemiptera,0,TSA,0.0
GDFF00000000.1,Centrotus cornutus,Membracidae,Hemiptera,0,TSA,0.0
GDFJ00000000.1,Lygaeus equestris,Lygaeidae,Hemiptera,0,TSA,0.0
GDFM00000000.1,Franklinothrips vespiformis,Aeolothripidae,Thysanoptera,1,TSA,1.0
GDEZ00000000.1,Arocatus melanocephalus,Lygaeidae,Hemiptera,0,TSA,0.0
GDFE00000000.1,Caliscelis bonellii,None,Hemiptera,0,TSA,0.0
GDFH00000000.1,Metcalfa pruinosa,Flatidae,Hemiptera,0,TSA,0.0
GDFG00000000.1,Badonnelia titei,Sphaeropsocidae,Psocoptera,1,TSA,1.0
GDEV00000000.1,Longivalvus nubilus,Psocidae,Psocoptera,0,TSA,0.0
GDDU00000000.1,Peripsocus phaeopterus,Peripsocidae,Psocoptera,0,TSA,0.0
GDDT00000000.1,Mesopsocus unipunctatus,Mesopsocidae,Psocoptera,0,TSA,0.0
GDEU00000000.1,Heterocaecilius solocipennis,Pseudocaeciliidae,Psocoptera,0,TSA,0.0
GDEY00000000.1,Aaroniella sp. AD-2014,Philotarsidae,Psocoptera,0,TSA,0.0
GDET00000000.1,Bertkauia sp. AD-2014,Epipsocidae,Psocoptera,0,TSA,0.0
GDDS00000000.1,Stimulopalpus japonicus,Amphientomidae,Psocoptera,0,TSA,0.0
GDES00000000.1,Plea minutissima,Pleidae,Hemiptera,0,TSA,0.0
GDEQ00000000.1,Aphelocheirus aestivalis,Aphelocheiridae,Hemiptera,0,TSA,0.0
GDER00000000.1,Saldula saltatoria,Saldidae,Hemiptera,0,TSA,0.0
GDEP00000000.1,Dictyophara europaea,Dictyopharidae,Hemiptera,0,TSA,0.0
GDEX00000000.1,Tachycixius pilosus,Cixiidae,Hemiptera,0,TSA,0.0
GDEW00000000.1,Ilyocoris cimicoides,Naucoridae,Hemiptera,0,TSA,0.0
GDDR00000000.1,Corixa punctata,Corixidae,Hemiptera,0,TSA,0.0
GDFD00000000.1,Aradus betulae,Aradidae,Hemiptera,0,TSA,0.0
GDEO00000000.1,Ulopa reticulata,Cicadellidae,Hemiptera,0,TSA,0.0
GDEN00000000.1,Aphrophora alni,Aphrophoridae,Hemiptera,0,TSA,0.0
GDEK00000000.1,Cimex lectularius,Cimicidae,Hemiptera,0,TSA,0.0
GDED00000000.1,Diplonychus rusticus,Belostomatidae,Hemiptera,0,TSA,0.0
GDEI00000000.1,Haematomyzus elephantis,Haematomyzidae,Phthiraptera,0,TSA,0.0
GDEG00000000.1,Hydrometra stagnorum,Hydrometridae,Hemiptera,0,TSA,0.0
GDEH00000000.1,Notonecta glauca,Notonectidae,Hemiptera,0,TSA,0.0
GDEA00000000.1,Cerobasis guestfalica,Trogiidae,Psocoptera,0,TSA,0.0
GDEB00000000.1,Daktulosphaira vitifoliae,Phylloxeridae,Hemiptera,0,TSA,0.0
GDDZ00000000.1,Hemipsocus chloroticus,Hemipsocidae,Psocoptera,0,TSA,0.0
GDFK00000000.1,Embidopsocus sp. AD-2014,Liposcelididae,Psocoptera,1,TSA,1.0
GDFB00000000.1,Valenzuela badiostigma,Caeciliusidae,Psocoptera,0,TSA,0.0
GDEJ00000000.1,Echinophthirius horridus,Echinophthiriidae,Phthiraptera,0,TSA,0.0
GDEL00000000.1,Lachesilla abiesicola,Lachesillidae,Psocoptera,0,TSA,0.0
GDDY00000000.1,Graphopsocus cruciatus,Stenopsocidae,Psocoptera,0,TSA,0.0
GDDQ00000000.1,Matsumuraiella radiopicta,Dasydemellidae,Psocoptera,0,TSA,0.0
GDDX00000000.1,Amphipsocus japonicus,Amphipsocidae,Psocoptera,0,TSA,0.0
GDDW00000000.1,Corythucha ciliata,Tingidae,Hemiptera,0,TSA,0.0
GDEF00000000.1,Graphocephala fennahi,Cicadellidae,Hemiptera,0,TSA,0.0
GAYV00000000.2,Liposcelis bostrychophila,Liposcelididae,Psocoptera,2,TSA,2.0
GAWQ00000000.2,Okanagana villosa,Cicadidae,Hemiptera,0,TSA,0.0
GASV00000000.2,Notostira elongata,Miridae,Hemiptera,0,TSA,0.0
GATV00000000.2,Perla marginata,Perlidae,Plecoptera,0,TSA,0.0
GAYF00000000.2,Nilaparvata lugens,Delphacidae,Hemiptera,0,TSA,0.0
GAUJ00000000.2,Orussus abietinus,Orussidae,Hymenoptera,0,TSA,0.0
GAYC00000000.2,Osmylus fulvicephalus,Osmylidae,Neuroptera,0,TSA,0.0
GATB00000000.2,Metallyticus splendidus,Metallyticidae,Mantodea,0,TSA,0.0
GAUF00000000.2,Leuctra sp. AD-2013,Leuctridae,Plecoptera,1,TSA,1.0
GAWR00000000.2,Menopon gallinae,Menoponidae,Phthiraptera,0,TSA,0.0
GASW00000000.2,Mantis religiosa,Mantidae,Mantodea,0,TSA,0.0
GAXF00000000.2,Planococcus citri,Pseudococcidae,Hemiptera,0,TSA,0.0
GAWJ00000000.2,Peruphasma schultei,Pseudophasmatidae,Phasmatodea,0,TSA,0.0
GAYZ00000000.2,Ranatra linearis,Nepidae,Hemiptera,0,TSA,0.0
GAWX00000000.2,Trialeurodes vaporariorum,Aleyrodidae,Hemiptera,0,TSA,0.0
GAVX00000000.2,Timema cristinae,Timematidae,Phasmatodea,0,TSA,0.0
GAXB00000000.2,Tanzaniophasma sp. AD-2013,Tanzaniophasmatidae,Mantophasmatodea,0,TSA,0.0
GAXC00000000.2,Thrips palmi,Thripidae,Thysanoptera,1,TSA,1.0
GASQ00000000.2,Tetrix subulata,Tetrigidae,Orthoptera,0,TSA,0.0
GAWW00000000.2,Tenthredo koehleri,Tenthredinidae,Hymenoptera,1,TSA,1.0
