Run,AGE,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,bloodfeeding_state,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,mating_state,Organism,Platform,ReleaseDate,replicate,Sample Name,SAMPLE_TYPE,sex,SRA Study,Strain,tissue,treatment
SRR1167515,10-16 days,RNA-Seq,202,10226493612,MR4 stock # MRA-735,PRJNA236239,SAMN02628865,Model organism or animal,not bloodfed,6493100299,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468728,Illumina HiSeq 2000,Fe_Ov_SF_1.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Ov_SF_1,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167516,10-16 days,RNA-Seq,202,10468983502,MR4 stock # MRA-735,PRJNA236239,SAMN02628865,Model organism or animal,not bloodfed,6677735598,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468729,Illumina HiSeq 2000,Fe_Ov_SF_1.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Ov_SF_1,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167517,10-16 days,RNA-Seq,202,11252179720,MR4 stock # MRA-735,PRJNA236239,SAMN02628866,Model organism or animal,not bloodfed,7168905671,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468730,Illumina HiSeq 2000,Fe_Ov_SF_2.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Ov_SF_2,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167518,10-16 days,RNA-Seq,202,11435199800,MR4 stock # MRA-735,PRJNA236239,SAMN02628866,Model organism or animal,not bloodfed,7319409657,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468731,Illumina HiSeq 2000,Fe_Ov_SF_2.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Ov_SF_2,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167519,10-16 days,RNA-Seq,202,7209635530,MR4 stock # MRA-735,PRJNA236239,SAMN02628867,Model organism or animal,not bloodfed,4580605208,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468732,Illumina HiSeq 2000,Fe_Ov_SF_3.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Ov_SF_3,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167520,10-16 days,RNA-Seq,202,7330462436,MR4 stock # MRA-735,PRJNA236239,SAMN02628867,Model organism or animal,not bloodfed,4679305974,ROCKEFELLER UNIVERSITY,2012-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468733,Illumina HiSeq 2000,Fe_Ov_SF_3.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Ov_SF_3,dissected tissue,female,SRP037535,LVPIB12,ovaries,not bloodfed
SRR1167539,10-16 days,RNA-Seq,202,6450060586,MR4 stock # MRA-735,PRJNA236239,SAMN02628921,Model organism or animal,96h post blood-meal,3885445524,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468752,Illumina HiSeq 2000,Fe_Ov_O_2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Fe_Ov_O_2,dissected tissue,female,SRP037535,LVPIB12,ovaries,96h post blood-meal
SRR1167540,10-16 days,RNA-Seq,202,9923049010,MR4 stock # MRA-735,PRJNA236239,SAMN02628922,Model organism or animal,96h post blood-meal,5910732968,ROCKEFELLER UNIVERSITY,2011-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468753,Illumina HiSeq 2000,Fe_Ov_O_3,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Ov_O_3,dissected tissue,female,SRP037535,LVPIB12,ovaries,96h post blood-meal
SRR1167541,10-16 days,RNA-Seq,202,28399297362,MR4 stock # MRA-735,PRJNA236239,SAMN02628923,Model organism or animal,96h post blood-meal,18798061244,ROCKEFELLER UNIVERSITY,2012-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468754,Illumina HiSeq 2000,Fe_Ov_O_4,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,4,Fe_Ov_O_4,dissected tissue,female,SRP037535,LVPIB12,ovaries,96h post blood-meal
SRR1167542,10-16 days,RNA-Seq,202,6784409774,MR4 stock # MRA-735,PRJNA236239,SAMN02628927,Model organism or animal,not bloodfed,4635892227,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468755,Illumina HiSeq 2000,Ma_Br_1.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Ma_Br_1,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1167543,10-16 days,RNA-Seq,202,7289894574,MR4 stock # MRA-735,PRJNA236239,SAMN02628927,Model organism or animal,not bloodfed,4973355257,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468756,Illumina HiSeq 2000,Ma_Br_1.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Ma_Br_1,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1167544,10-16 days,RNA-Seq,202,7690300590,MR4 stock # MRA-735,PRJNA236239,SAMN02628928,Model organism or animal,not bloodfed,5282408006,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468757,Illumina HiSeq 2000,Ma_Br_2.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Ma_Br_2,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1167545,10-16 days,RNA-Seq,202,8346796954,MR4 stock # MRA-735,PRJNA236239,SAMN02628928,Model organism or animal,not bloodfed,5733969848,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468758,Illumina HiSeq 2000,Ma_Br_2.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,2,Ma_Br_2,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1167546,10-16 days,RNA-Seq,202,9925099512,MR4 stock # MRA-735,PRJNA236239,SAMN02628929,Model organism or animal,not bloodfed,6836007058,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468759,Illumina HiSeq 2000,Ma_Br_3.2,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Ma_Br_3,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1167547,10-16 days,RNA-Seq,202,10664159134,MR4 stock # MRA-735,PRJNA236239,SAMN02628929,Model organism or animal,not bloodfed,7356407505,ROCKEFELLER UNIVERSITY,2012-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468760,Illumina HiSeq 2000,Ma_Br_3.1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Ma_Br_3,dissected tissue,male,SRP037535,LVPIB12,brains,not bloodfed
SRR1166497,10-16 days,RNA-Seq,101,7347379431,MR4 stock # MRA-735,PRJNA236239,SAMN02628879,Model organism or animal,48h post blood-meal,5111856313,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468823,Illumina HiSeq 2000,Fe_Br_BF_1,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Br_BF_1,dissected tissue,female,SRP037535,LVPIB12,brains,48h post blood-meal
SRR1167484,10-16 days,RNA-Seq,101,11640405742,MR4 stock # MRA-735,PRJNA236239,SAMN02628919,Model organism or animal,96h post blood-meal,7681922423,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468846,Illumina HiSeq 2000,Fe_Br_O_4,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,4,Fe_Br_O_4,dissected tissue,female,SRP037535,LVPIB12,brains,96h post blood-meal
SRR1167502,10-16 days,RNA-Seq,202,21050543826,MR4 stock # MRA-735,PRJNA236239,SAMN02628830,Model organism or animal,not bloodfed,13969168425,ROCKEFELLER UNIVERSITY,2011-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468715,Illumina HiSeq 2000,Fe_Br_SF_1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Br_SF_1,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1167538,10-16 days,RNA-Seq,202,11971475662,MR4 stock # MRA-735,PRJNA236239,SAMN02628920,Model organism or animal,96h post blood-meal,7241272109,ROCKEFELLER UNIVERSITY,2011-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468751,Illumina HiSeq 2000,Fe_Ov_O_1,PAIRED,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,1,Fe_Ov_O_1,dissected tissue,female,SRP037535,LVPIB12,ovaries,96h post blood-meal
SRR1166464,10-16 days,RNA-Seq,101,12769964290,MR4 stock # MRA-735,PRJNA236239,SAMN02628835,Model organism or animal,not bloodfed,8878395912,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468790,Illumina HiSeq 2000,Fe_Br_SF_6,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,6,Fe_Br_SF_6,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1166465,10-16 days,RNA-Seq,101,7793316348,MR4 stock # MRA-735,PRJNA236239,SAMN02628836,Model organism or animal,not bloodfed,5409653037,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468791,Illumina HiSeq 2000,Fe_Br_SF_7,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,7,Fe_Br_SF_7,dissected tissue,female,SRP037535,LVPIB12,brains,not bloodfed
SRR1166499,10-16 days,RNA-Seq,101,11935947700,MR4 stock # MRA-735,PRJNA236239,SAMN02628881,Model organism or animal,48h post blood-meal,8264609674,ROCKEFELLER UNIVERSITY,2011-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX468825,Illumina HiSeq 2000,Fe_Br_BF_3,SINGLE,PolyA,TRANSCRIPTOMIC,mated,Aedes aegypti,ILLUMINA,2014-02-13T00:00:00Z,3,Fe_Br_BF_3,dissected tissue,female,SRP037535,LVPIB12,brains,48h post blood-meal
